dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2835,0.2395,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.359106,-0.168387,0.790705,-2.45154,0.0334507,-0.0990592,-1.22297,0.404051,1.26039,-1.23625,-0.259805,-0.189834,0.571333,-1.24103,0.386833,1.28105,-1.25954,-0.267781,-0.190917,0.569168,0.656907,-0.199206,0.94648,-1.05485,-1.49439,-2.03623,-0.021583,0.0545516,-0.00792302,-0.0118335,0.0313419,0.0259502,-1.3125
0.2835,0.239,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.359674,-0.170362,0.796814,-2.41764,0.0301311,-0.1164,-1.22485,0.40267,1.26291,-1.23826,-0.260473,-0.190472,0.571453,-1.24251,0.385068,1.28238,-1.26185,-0.268538,-0.190441,0.568686,0.656416,-0.197865,0.946409,-1.06293,-1.49524,-2.02648,-0.0221308,0.0555391,-0.0084728,-0.0129449,0.0322997,0.0234302,-0.6875
0.2835,0.239,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.35956,-0.171856,0.802184,-2.45155,0.0215737,-0.0917529,-1.22672,0.401187,1.26533,-1.24034,-0.261202,-0.190988,0.571483,-1.24465,0.382341,1.28413,-1.26532,-0.269678,-0.189616,0.567846,0.655915,-0.19652,0.946335,-1.07115,-1.49604,-2.01671,-0.022086,0.0544847,-0.00907776,-0.0120321,0.0325181,0.0163456,-0.9375
0.2835,0.24,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.35609,-0.171759,0.798557,-2.44171,0.046756,-0.126777,-1.22858,0.399636,1.26766,-1.24252,-0.261977,-0.191398,0.571483,-1.24611,0.380425,1.28527,-1.26772,-0.270481,-0.18901,0.567212,0.655416,-0.195162,0.946224,-1.07986,-1.49684,-2.00653,-0.0225475,0.0555807,-0.00956547,-0.0110097,0.0330413,0.0143623,0.1875
0.2835,0.24,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.35609,-0.171759,0.798557,-2.44171,0.046756,-0.126777,-1.23042,0.397983,1.26986,-1.24479,-0.262766,-0.191687,0.571483,-1.24831,0.377488,1.28693,-1.27141,-0.27173,-0.187941,0.566184,0.654913,-0.193806,0.946091,-1.08826,-1.49773,-1.9968,-0.0226764,0.0559543,-0.0103135,-0.00886907,0.031505,0.0103944,0.1875
0.284,0.238,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.352536,-0.171591,0.796325,-2.41179,0.0270776,-0.14403,-1.23226,0.39621,1.27196,-1.24714,-0.263586,-0.191808,0.571453,-1.24976,0.375493,1.28799,-1.2739,-0.272582,-0.187129,0.56545,0.654399,-0.192442,0.945956,-1.09592,-1.49865,-1.98798,-0.0219843,0.054364,-0.0105549,-0.00754303,0.0296022,0.00532675,-0.8125
0.2845,0.2395,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.376296,-0.184376,0.853539,-2.46174,0.081708,-0.169952,-1.23409,0.394352,1.27397,-1.24961,-0.264407,-0.191824,0.571363,-1.25187,0.372363,1.28936,-1.27771,-0.273884,-0.185783,0.564215,0.653887,-0.191053,0.945779,-1.10412,-1.4996,-1.97869,-0.0226632,0.0557724,-0.0111858,-0.00820283,0.0312754,-0.00112212,0.1875
0.2835,0.239,0.998287,-0.0434021,2.68392,-1.43682,0.337247,0.239859,0.998287,-0.0434021,2.68392,-1.43682,-0.374283,-0.18505,0.855072,-2.44214,0.071975,-0.108121,-1.23591,0.392426,1.2759,-1.25217,-0.265257,-0.191778,0.571032,-1.25322,0.370154,1.29006,-1.28027,-0.274766,-0.184844,0.56327,0.653373,-0.189662,0.945566,-1.11441,-1.5004,-1.9674,-0.0221606,0.0539126,-0.0112824,-0.00789319,0.0319123,-0.00804042,-0.1875
0.2835,0.239,0.998287,-0.0434021,2.68392,-1.43682,0.337247,0.239859,0.998287,-0.0434021,2.68392,-1.43682,-0.374283,-0.18505,0.855072,-2.44214,0.071975,-0.108121,-1.23774,0.390415,1.27772,-1.25481,-0.266138,-0.19152,0.570581,-1.25513,0.366619,1.29077,-1.28415,-0.276115,-0.183364,0.56164,0.652855,-0.188285,0.945342,-1.12439,-1.5011,-1.95659,-0.022881,0.0552499,-0.0120154,-0.00907611,0.0351063,-0.0163903,-0.3125
0.2835,0.239,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.349813,-0.174649,0.802456,-2.44476,0.0196096,-0.118967,-1.23958,0.388319,1.27946,-1.25756,-0.267065,-0.191095,0.570009,-1.2563,0.364205,1.29103,-1.28671,-0.277008,-0.182318,0.560459,0.652332,-0.186917,0.945095,-1.1347,-1.50172,-1.94561,-0.0221156,0.0534282,-0.0119912,-0.00830995,0.034019,-0.0218664,-0.9375
0.2835,0.239,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.375454,-0.187761,0.867643,-2.46762,0.0751526,-0.11334,-1.2414,0.386171,1.28115,-1.26035,-0.268021,-0.190563,0.569317,-1.25802,0.360396,1.29125,-1.29064,-0.278393,-0.180626,0.55854,0.65181,-0.185539,0.944837,-1.14541,-1.50222,-1.93429,-0.0226038,0.0546688,-0.0125354,-0.00877027,0.0346275,-0.0289702,-1.1875
0.283,0.239,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.347343,-0.176948,0.807783,-3.18286,0.457106,-1.06179,-1.24322,0.383938,1.28275,-1.26323,-0.269009,-0.189925,0.568596,-1.25904,0.357765,1.29112,-1.29323,-0.279303,-0.179418,0.557147,0.651284,-0.184156,0.944554,-1.15624,-1.50275,-1.92297,-0.0219913,0.0526652,-0.012384,-0.0096337,0.0341566,-0.0378627,-0.4375
0.283,0.239,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.347343,-0.176948,0.807783,-3.18286,0.457106,-1.06179,-1.24512,0.381535,1.2843,-1.26628,-0.270041,-0.18915,0.567753,-1.26048,0.353538,1.29056,-1.29719,-0.280701,-0.177525,0.554833,0.650734,-0.182737,0.944243,-1.16761,-1.50328,-1.91124,-0.0221678,0.0521042,-0.0124869,-0.0115054,0.0363418,-0.0481107,-0.3125
0.2835,0.239,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.370648,-0.189012,0.866546,-2.46067,0.070692,-0.151112,-1.24684,0.379217,1.28563,-1.26918,-0.270998,-0.188361,0.566911,-1.26137,0.350583,1.28997,-1.29983,-0.281641,-0.176235,0.553169,0.650225,-0.181407,0.943931,-1.17855,-1.50381,-1.90005,-0.0225368,0.0525782,-0.0127297,-0.0125138,0.0380118,-0.0531957,0.5625
0.2835,0.239,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.34821,-0.179535,0.820135,-2.45757,0.0345622,-0.150852,-1.24861,0.376729,1.28689,-1.27223,-0.272016,-0.187434,0.565949,-1.26261,0.346102,1.28887,-1.30374,-0.283045,-0.174297,0.550595,0.649693,-0.180042,0.943596,-1.18997,-1.50432,-1.88852,-0.0218544,0.0504461,-0.0125804,-0.0122804,0.0375805,-0.0581139,0.9375
0.2835,0.239,0.998287,-0.0434021,2.68392,-1.43682,0.337247,0.239859,0.998287,-0.0434021,2.68392,-1.43682,-0.347007,-0.179849,0.821625,-2.4614,0.0400384,-0.110185,-1.25035,0.374121,1.288,-1.27535,-0.273064,-0.186432,0.564896,-1.26338,0.343035,1.28802,-1.30635,-0.28399,-0.17295,0.548808,0.649158,-0.178673,0.943239,-1.20198,-1.50484,-1.87653,-0.0220485,0.050839,-0.012966,-0.012837,0.037722,-0.0629286,0.1875
