dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.26,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.294598,-0.195554,0.748824,-2.44711,0.0542186,-0.0511152,-0.325698,0.209849,0.011164,-1.1302,-1.11858,-0.345222,0.964694,-0.337819,0.209695,0.0186328,-1.13144,-1.13822,-0.355256,0.985949,0.664946,-0.160327,0.998267,-0.984717,-1.44029,-2.15777,-0.000577108,-0.00589854,-0.00048149,-0.00171335,-0.00344797,0.0168685,-1.8125
0.264,0.24,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.294922,-0.195328,0.747953,-2.44199,0.0530815,-0.0546357,-0.326806,0.209695,0.0118798,-1.13049,-1.12037,-0.346178,0.966649,-0.338427,0.209786,0.0189953,-1.13137,-1.13926,-0.355748,0.98699,0.664797,-0.160458,0.998226,-0.984037,-1.44043,-2.15775,-0.000165521,-0.00568671,-0.000359783,-0.000647335,-0.00315712,0.0158296,0.3125
0.2645,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.2951,-0.196102,0.748401,-2.4405,0.0530659,-0.0602577,-0.327914,0.209593,0.0125786,-1.13071,-1.12216,-0.34712,0.968574,-0.339259,0.209946,0.0194718,-1.13124,-1.14065,-0.356454,0.988368,0.664667,-0.160608,0.998192,-0.983281,-1.44054,-2.15782,7.31756e-05,-0.00585817,-0.000249721,-0.00149004,-0.0027724,0.015305,2.3125
0.2645,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.2951,-0.196102,0.748401,-2.4405,0.0530659,-0.0602577,-0.329022,0.209508,0.0132604,-1.1309,-1.12389,-0.348047,0.970529,-0.339796,0.210065,0.0197674,-1.13113,-1.14153,-0.356923,0.989252,0.664541,-0.160773,0.998165,-0.982073,-1.44073,-2.15839,0.000584336,-0.00571355,-7.88269e-05,-0.00236477,-0.00291764,0.0126159,2.0625
0.26,0.2385,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.295417,-0.195872,0.747516,-2.43544,0.0519412,-0.0637294,-0.330096,0.20944,0.0139251,-1.13106,-1.12561,-0.348943,0.972394,-0.340518,0.210265,0.0201531,-1.13092,-1.1427,-0.357534,0.990456,0.664424,-0.160931,0.998148,-0.980973,-1.44084,-2.15886,0.000735144,-0.00587937,-9.93151e-05,-0.00336887,-0.00297192,0.0119454,0.1875
0.2605,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.310346,-0.205948,0.786998,-2.47802,0.105649,-0.0151641,-0.331135,0.209405,0.0145558,-1.13121,-1.12729,-0.349808,0.974228,-0.340966,0.210404,0.0203868,-1.13078,-1.14341,-0.357913,0.991204,0.664326,-0.161097,0.998109,-0.980072,-1.44096,-2.15916,0.00100862,-0.00561726,-7.50055e-06,-0.00261602,-0.00284543,0.0104756,-0.4375
0.2635,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.300065,-0.199102,0.758346,-2.4992,0.0696834,-0.0721094,-0.332158,0.209388,0.0151864,-1.13133,-1.12893,-0.350659,0.975973,-0.341601,0.21062,0.0207072,-1.13055,-1.14442,-0.358462,0.992227,0.664238,-0.161257,0.998078,-0.979272,-1.44104,-2.15936,0.00108774,-0.00554958,-4.18924e-05,-0.000721366,-0.00298478,0.010994,-1.6875
0.2635,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.300065,-0.199102,0.758346,-2.4992,0.0696834,-0.0721094,-0.33313,0.209371,0.015783,-1.13141,-1.13051,-0.351464,0.977687,-0.342008,0.21077,0.0209152,-1.13039,-1.14508,-0.358814,0.992868,0.664149,-0.16141,0.998067,-0.978063,-1.44113,-2.16,0.00146488,-0.00511009,1.72189e-05,0.000665959,-0.00339838,0.0103096,-0.9375
0.2615,0.238,0.929119,0.0509728,-2.86817,1.33528,0.315086,0.221938,0.929119,0.0509728,-2.86817,1.33528,-0.315376,-0.208647,0.797136,-2.50673,0.102692,-0.107005,-0.334067,0.209371,0.0163625,-1.13146,-1.13202,-0.352254,0.979342,-0.342593,0.211004,0.0212291,-1.13014,-1.14608,-0.359302,0.993794,0.664071,-0.161555,0.998061,-0.976763,-1.44123,-2.16074,0.00164804,-0.0050606,2.40518e-05,0.00108442,-0.00428905,0.0101201,1.3125
0.2635,0.24,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.296532,-0.196511,0.748592,-2.46753,0.0668671,-0.0688635,-0.33497,0.209371,0.0169079,-1.13146,-1.13352,-0.352998,0.980936,-0.342969,0.211163,0.0214396,-1.12998,-1.14674,-0.359587,0.994408,0.663987,-0.161702,0.998089,-0.975183,-1.44126,-2.16179,0.00196952,-0.00476321,-3.10566e-05,0.00123222,-0.00442981,0.00838361,2.0625
0.2635,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.311356,-0.205727,0.786108,-2.47194,0.0984964,-0.101507,-0.33584,0.209371,0.0174362,-1.13146,-1.13496,-0.353696,0.9825,-0.343498,0.211412,0.0217448,-1.12974,-1.1477,-0.359954,0.995302,0.663907,-0.161844,0.998118,-0.973462,-1.44132,-2.16302,0.00228978,-0.00460888,-5.62034e-05,0.00121326,-0.00505785,0.00735665,0.4375
0.2635,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.311356,-0.205727,0.786108,-2.47194,0.0984964,-0.101507,-0.336675,0.209388,0.0179305,-1.13146,-1.13633,-0.354365,0.983943,-0.343833,0.211585,0.0219453,-1.12957,-1.14832,-0.360166,0.995883,0.663838,-0.161991,0.998133,-0.972122,-1.44134,-2.1639,0.0024303,-0.00450723,-3.43965e-05,0.00177267,-0.00524361,0.00753146,-1.0625
0.2615,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.320023,-0.21276,0.809123,2.9248,-0.404496,1.02847,-0.337459,0.209388,0.0184078,-1.13146,-1.13761,-0.354987,0.985297,-0.344321,0.211851,0.0222422,-1.12931,-1.14924,-0.360476,0.996718,0.663766,-0.162121,0.998158,-0.970716,-1.44136,-2.16487,0.00259227,-0.00418768,6.3001e-06,0.00324288,-0.00501626,0.0074668,-1.6875
0.2605,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.301008,-0.19904,0.75808,-2.49838,0.0716233,-0.0331498,-0.338209,0.209405,0.0188339,-1.13146,-1.13885,-0.355595,0.98656,-0.344621,0.21203,0.0224215,-1.12913,-1.14982,-0.36068,0.997204,0.663702,-0.162261,0.998172,-0.969693,-1.44135,-2.16549,0.00256145,-0.00430562,0.000105276,0.00398776,-0.0046356,0.00773269,-0.4375
0.261,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.316437,-0.208626,0.797029,-2.50724,0.104774,-0.0636899,-0.338908,0.209474,0.0192429,-1.13143,-1.14005,-0.356172,0.987763,-0.345053,0.212304,0.0226598,-1.12884,-1.15062,-0.361008,0.997845,0.66367,-0.162392,0.99817,-0.968869,-1.44132,-2.16591,0.00274013,-0.00420308,0.000139422,0.00407493,-0.00417478,0.00690937,1.9375
0.261,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.316437,-0.208626,0.797029,-2.50724,0.104774,-0.0636899,-0.339572,0.209593,0.0196179,-1.13135,-1.14116,-0.356734,0.988846,-0.345321,0.212489,0.0228029,-1.12864,-1.15111,-0.361212,0.998236,0.663662,-0.162532,0.998159,-0.96832,-1.44128,-2.16608,0.00269758,-0.00435185,0.000117616,0.00314344,-0.00442101,0.00603944,1.9375
0.262,0.238,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.316437,-0.208626,0.797029,-2.50724,0.104774,-0.0636899,-0.340203,0.209763,0.0199588,-1.13119,-1.14218,-0.357266,0.989899,-0.345698,0.212761,0.0230079,-1.12835,-1.15181,-0.361449,0.99883,0.663677,-0.162683,0.99815,-0.967488,-1.44129,-2.16658,0.00290325,-0.00419042,0.000100573,0.00132661,-0.00524273,0.00363434,0.9375
