dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.264,0.28,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.337899,-0.205508,0.730672,-2.33914,-0.015254,-0.0745658,0.177686,0.53691,-1.17709,-0.797755,-1.58445,-0.873868,0.826695,0.17529,0.540917,-1.17669,-0.793604,-1.58621,-0.869623,0.82702,0.720368,-0.175278,1.01342,-2.59294,-1.50125,-0.49598,0.00636436,0.00100118,-0.00207466,-0.0109922,-0.000169465,-0.0147702,-1.8875
0.2625,0.282,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.36109,-0.2193,0.779508,-2.316,0.0031207,-0.156158,0.177243,0.537336,-1.1769,-0.797244,-1.58486,-0.873473,0.826876,0.175338,0.541277,-1.17689,-0.793312,-1.58601,-0.869163,0.826832,0.720593,-0.175329,1.01339,-2.59383,-1.50165,-0.495241,0.00616137,0.00104703,-0.00211199,-0.0112936,0.000623058,-0.0144957,-2.1375
0.2625,0.279,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.360127,-0.217828,0.774139,-2.31372,0.0168274,-0.0501786,0.176834,0.53778,-1.17673,-0.79675,-1.58519,-0.873078,0.827026,0.175387,0.541501,-1.17704,-0.793137,-1.58586,-0.868878,0.826706,0.72083,-0.175371,1.01335,-2.59547,-1.50199,-0.49377,0.00552941,0.00127931,-0.00207201,-0.0107574,0.00146966,-0.0141734,-3.0125
0.2625,0.279,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.360127,-0.217828,0.774139,-2.31372,0.0168274,-0.0501786,0.176476,0.538189,-1.17661,-0.796272,-1.58548,-0.872683,0.827147,0.175496,0.541814,-1.17727,-0.792904,-1.58559,-0.868465,0.826502,0.721045,-0.175407,1.01332,-2.59723,-1.50235,-0.492205,0.00546738,0.00148375,-0.00215924,-0.0109294,0.00267268,-0.0147433,-3.7625
0.264,0.2795,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.336989,-0.203009,0.725149,-2.30714,-0.00724849,-0.0977656,0.176169,0.538598,-1.17653,-0.795829,-1.58574,-0.872273,0.827207,0.175593,0.542015,-1.17745,-0.792759,-1.58538,-0.868206,0.826334,0.721262,-0.175434,1.01328,-2.59858,-1.50266,-0.491071,0.00490564,0.00174252,-0.0021607,-0.0108132,0.00414104,-0.0148096,-3.1375
0.265,0.2795,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.358745,-0.216088,0.77291,-2.34892,0.0359195,-0.139528,0.175914,0.53899,-1.17648,-0.79542,-1.58594,-0.871848,0.827237,0.175779,0.5423,-1.17775,-0.792567,-1.585,-0.867836,0.826059,0.72147,-0.175456,1.01324,-2.60013,-1.50295,-0.489773,0.00498445,0.00203181,-0.00240937,-0.0112189,0.00447107,-0.015118,-2.6375
0.2625,0.28,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.360093,-0.215916,0.773464,-2.32999,0.0255633,-0.0986216,0.175726,0.539365,-1.17648,-0.795028,-1.58608,-0.871438,0.827267,0.175928,0.542484,-1.17796,-0.792464,-1.58475,-0.867577,0.825889,0.72167,-0.175456,1.01321,-2.60259,-1.50324,-0.487557,0.00487576,0.00224478,-0.00253593,-0.0108331,0.00412568,-0.0146752,-2.1375
0.2625,0.28,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.360093,-0.215916,0.773464,-2.32999,0.0255633,-0.0986216,0.175573,0.53974,-1.17648,-0.79467,-1.58615,-0.871028,0.827267,0.176183,0.542748,-1.17825,-0.792351,-1.58438,-0.867167,0.825673,0.721875,-0.175449,1.01315,-2.60529,-1.50347,-0.485127,0.00450571,0.00252433,-0.00270182,-0.0099011,0.00398833,-0.013922,-1.8875
0.263,0.281,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.360093,-0.215916,0.773464,-2.32999,0.0255633,-0.0986216,0.175453,0.540098,-1.17648,-0.794329,-1.58618,-0.870618,0.827267,0.176382,0.542902,-1.17845,-0.792316,-1.58414,-0.866897,0.825543,0.722076,-0.175429,1.0131,-2.60834,-1.5037,-0.482335,0.00444453,0.0026521,-0.00289026,-0.00984081,0.0044823,-0.0141502,-2.6375
0.263,0.2795,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.357631,-0.214083,0.768124,-2.34196,0.0153358,-0.0685075,0.175402,0.540421,-1.17648,-0.79404,-1.58618,-0.870223,0.827267,0.176715,0.543121,-1.17876,-0.792301,-1.58374,-0.866497,0.825347,0.722267,-0.175383,1.01304,-2.61127,-1.50391,-0.479631,0.00405319,0.00275012,-0.00313266,-0.0100574,0.00519309,-0.0144751,-2.7625
