dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.268,0.244,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.341684,-0.23044,0.81122,-3.00102,0.474497,-1.03491,-0.381961,0.182902,0.011556,-1.15018,-1.17471,-0.401949,1.01276,-0.38193,0.182819,0.0115485,-1.15081,-1.17453,-0.402348,1.01263,0.64265,-0.181342,1.00348,-0.981272,-1.44311,-2.15707,0.000632009,0.00111328,-0.00212699,0.000180182,0.00305815,0.00332484,5.8125
0.267,0.2475,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.318114,-0.21309,0.754932,-2.47783,0.0640853,-0.0160522,-0.381927,0.182885,0.0115049,-1.15026,-1.17453,-0.402024,1.01258,-0.381934,0.182819,0.0115975,-1.15089,-1.17461,-0.402362,1.01274,0.64265,-0.181341,1.00342,-0.98246,-1.44318,-2.15587,0.000755791,0.00126874,-0.00216513,-0.000226193,0.00218416,0.00342663,3.6875
0.268,0.247,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.334489,-0.224833,0.793869,-2.48534,0.0970508,-0.0423716,-0.38191,0.182868,0.0114708,-1.15033,-1.17444,-0.4021,1.01252,-0.381937,0.182815,0.0116899,-1.15104,-1.17477,-0.402346,1.01298,0.642646,-0.181337,1.00338,-0.983152,-1.44326,-2.15515,0.000822354,0.00161463,-0.00235572,-0.00114104,0.00204596,0.00281345,1.3125
0.268,0.247,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.334489,-0.224833,0.793869,-2.48534,0.0970508,-0.0423716,-0.38191,0.182851,0.0114708,-1.15042,-1.17441,-0.402161,1.01249,-0.381932,0.182808,0.0117622,-1.15115,-1.17489,-0.402294,1.01317,0.642646,-0.181328,1.00334,-0.983914,-1.44329,-2.15435,0.000967818,0.00170619,-0.00251792,-0.00155764,0.00144477,0.00199222,0.4375
0.2665,0.248,0.915052,0.0473438,-2.86194,1.3665,0.309907,0.218555,0.915052,0.0473438,-2.86194,1.3665,-0.318114,-0.21309,0.754932,-2.47783,0.0640853,-0.0160522,-0.38191,0.182833,0.0114708,-1.15052,-1.17439,-0.402207,1.01246,-0.381917,0.182803,0.0119015,-1.15136,-1.17514,-0.402124,1.01355,0.642648,-0.181321,1.00329,-0.984793,-1.44331,-2.15344,0.00144165,0.00199649,-0.00283303,-0.00128493,-0.000233798,0.000712598,1.5625
0.267,0.2475,0.915052,0.0473438,-2.86194,1.3665,0.309907,0.218555,0.915052,0.0473438,-2.86194,1.3665,-0.318114,-0.21309,0.754932,-2.47783,0.0640853,-0.0160522,-0.38191,0.182833,0.0114708,-1.15062,-1.17439,-0.402237,1.01249,-0.381911,0.182807,0.0120272,-1.15151,-1.17539,-0.401948,1.01388,0.642659,-0.18132,1.00322,-0.985529,-1.44337,-2.15268,0.00178753,0.00220881,-0.00292126,-0.000904173,-0.00179813,0.000348183,4.3125
0.2655,0.247,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.335103,-0.224516,0.795243,-2.48608,0.0715849,0.0381879,-0.38191,0.182816,0.0114708,-1.15072,-1.17441,-0.402267,1.01249,-0.381902,0.182819,0.0122336,-1.15174,-1.17581,-0.401653,1.01442,0.64266,-0.181315,1.00318,-0.986288,-1.44338,-2.1519,0.0020068,0.00231334,-0.0029962,-0.000617665,-0.00214691,0.000163269,5.4375
0.2655,0.247,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.335103,-0.224516,0.795243,-2.48608,0.0715849,0.0381879,-0.38191,0.182799,0.0114708,-1.15084,-1.17442,-0.402283,1.01249,-0.38188,0.182829,0.0123643,-1.1519,-1.17605,-0.401431,1.01477,0.642663,-0.181313,1.00312,-0.987138,-1.44339,-2.15104,0.00205907,0.00235102,-0.00317912,-0.00142359,-0.00178604,-0.00110874,3.9375
0.268,0.2445,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.338562,-0.227213,0.803517,-2.48051,0.0855732,-0.00190952,-0.38191,0.182799,0.0114878,-1.15096,-1.17444,-0.402283,1.01252,-0.381822,0.182842,0.0125576,-1.15215,-1.17638,-0.400995,1.01533,0.642678,-0.181308,1.00305,-0.987956,-1.44343,-2.15021,0.00235009,0.00214509,-0.00327887,-0.00469489,-0.00297129,-0.00472841,2.3125
0.2665,0.243,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.338562,-0.227213,0.803517,-2.48051,0.0855732,-0.00190952,-0.38191,0.182799,0.0114878,-1.15112,-1.17456,-0.402267,1.01261,-0.381782,0.182857,0.0127069,-1.15233,-1.17664,-0.400611,1.01582,0.642693,-0.181313,1.00297,-0.988902,-1.44341,-2.14926,0.00267459,0.00198097,-0.00330785,-0.00752689,-0.00487409,-0.00708051,1.3125
0.2665,0.2465,0.915052,0.0473438,-2.86194,1.3665,0.309907,0.218555,0.915052,0.0473438,-2.86194,1.3665,-0.330969,-0.22196,0.786294,-2.46065,0.0710289,0.0376654,-0.38191,0.182799,0.0115901,-1.15127,-1.17477,-0.402207,1.01285,-0.381748,0.182888,0.012979,-1.15262,-1.17715,-0.399921,1.0168,0.642722,-0.181268,1.0029,-0.989256,-1.44341,-2.14883,0.00293977,0.00170372,-0.00321926,-0.0116646,-0.00748388,-0.00970767,1.8125
0.2665,0.2465,0.915052,0.0473438,-2.86194,1.3665,0.309907,0.218555,0.915052,0.0473438,-2.86194,1.3665,-0.330969,-0.22196,0.786294,-2.46065,0.0710289,0.0376654,-0.38191,0.182799,0.0117435,-1.15142,-1.17506,-0.402024,1.01321,-0.381726,0.182913,0.013174,-1.15282,-1.17752,-0.399408,1.01754,0.642757,-0.181213,1.00285,-0.988912,-1.44339,-2.14914,0.00307149,0.00162428,-0.00325576,-0.0136147,-0.00797081,-0.0109662,3.8125
0.268,0.244,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.314712,-0.212241,0.748238,-2.97585,0.45404,-1.15226,-0.381893,0.182799,0.0119139,-1.15159,-1.17538,-0.401781,1.01366,-0.381674,0.182952,0.0134509,-1.15311,-1.178,-0.398618,1.01862,0.642798,-0.181147,1.00279,-0.988208,-1.44339,-2.14983,0.00309392,0.00158643,-0.00314819,-0.014014,-0.00741926,-0.0116957,3.5625
0.268,0.2425,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.313714,-0.210581,0.746179,-2.4495,0.0599957,-0.0521016,-0.381859,0.182799,0.0121184,-1.15178,-1.17571,-0.401478,1.0142,-0.381624,0.182976,0.0136211,-1.1533,-1.17828,-0.398092,1.01928,0.642849,-0.181063,1.00273,-0.987122,-1.44344,-2.1509,0.00305734,0.00173546,-0.00315569,-0.0128109,-0.00694336,-0.0116368,3.3125
0.2675,0.243,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.341028,-0.227642,0.811379,-2.47626,0.0954969,-0.123043,-0.381842,0.182799,0.01234,-1.15197,-1.17609,-0.401098,1.0148,-0.38152,0.183001,0.0138503,-1.15357,-1.17863,-0.397321,1.02012,0.642898,-0.180991,1.00268,-0.98566,-1.44347,-2.15241,0.00289634,0.00205857,-0.00301009,-0.00975636,-0.00616369,-0.0110669,3.4375
0.2675,0.243,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.341028,-0.227642,0.811379,-2.47626,0.0954969,-0.123043,-0.381808,0.182799,0.0125616,-1.15221,-1.17649,-0.400688,1.01547,-0.381431,0.183014,0.013989,-1.15375,-1.17882,-0.396822,1.02058,0.642956,-0.180915,1.0026,-0.98428,-1.44354,-2.15385,0.00280802,0.00237442,-0.00293464,-0.00807295,-0.00545959,-0.0104463,3.5625
0.2665,0.2475,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.318114,-0.21309,0.754932,-2.47783,0.0640853,-0.0160522,-0.381774,0.182799,0.0127661,-1.15245,-1.17685,-0.400187,1.01619,-0.381272,0.183019,0.0141586,-1.15401,-1.179,-0.396112,1.02112,0.643011,-0.180864,1.00253,-0.982349,-1.44366,-2.15595,0.00251558,0.00247684,-0.00267162,-0.00652296,-0.00452149,-0.0102925,3.1875
0.2665,0.2435,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.317819,-0.212793,0.755153,-2.44728,0.0470235,-0.0529781,-0.381723,0.182799,0.0129707,-1.15267,-1.17723,-0.39967,1.01694,-0.381156,0.183016,0.0142687,-1.15418,-1.1791,-0.395635,1.02145,0.643066,-0.180803,1.00247,-0.98014,-1.44379,-2.15831,0.00244743,0.00268407,-0.00266585,-0.00649109,-0.004552,-0.0101021,3.8125
0.2665,0.2435,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.317819,-0.212793,0.755153,-2.44728,0.0470235,-0.0529781,-0.381671,0.182799,0.0131922,-1.15289,-1.1776,-0.399093,1.01769,-0.380978,0.183009,0.0144331,-1.15445,-1.17925,-0.394915,1.02195,0.643124,-0.180743,1.00241,-0.977755,-1.4439,-2.1609,0.00242568,0.00271786,-0.00267161,-0.00643316,-0.0046454,-0.0104227,4.5625
0.2665,0.244,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.336762,-0.224857,0.800216,-2.47855,0.113052,-0.0363268,-0.381603,0.182799,0.0134138,-1.15311,-1.17793,-0.398486,1.0185,-0.380869,0.182997,0.014546,-1.15463,-1.17937,-0.394442,1.02229,0.643185,-0.180678,1.00235,-0.974974,-1.44409,-2.16389,0.00212601,0.00256448,-0.00261659,-0.0054348,-0.00439164,-0.00968073,3.8125
0.2665,0.245,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.33454,-0.223478,0.794044,-2.4878,0.0975724,-0.0420527,-0.381518,0.182799,0.0136183,-1.15335,-1.17822,-0.397878,1.01923,-0.380732,0.182973,0.0147151,-1.15491,-1.17959,-0.393808,1.02278,0.643248,-0.180613,1.00229,-0.972634,-1.44425,-2.16646,0.00187932,0.00251886,-0.00252172,-0.0037964,-0.00410051,-0.00756466,3.3125
0.2665,0.248,0.929119,0.0509728,-2.86817,1.33528,0.315086,0.221938,0.929119,0.0509728,-2.86817,1.33528,-0.319254,-0.212951,0.756783,-2.48177,0.0381073,0.0211379,-0.381433,0.182799,0.0138058,-1.15359,-1.17849,-0.397255,1.01989,-0.380668,0.182952,0.0148232,-1.15508,-1.17975,-0.393465,1.02307,0.643309,-0.180561,1.00222,-0.970489,-1.44438,-2.16886,0.00145683,0.00229015,-0.00235374,-0.00243831,-0.00344739,-0.00564944,2.0625
0.267,0.2435,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.337739,-0.224451,0.800042,-2.4442,0.0937221,-0.0772555,-0.381314,0.182799,0.0139763,-1.15381,-1.17872,-0.396633,1.02052,-0.380603,0.182918,0.0149876,-1.15533,-1.18004,-0.393024,1.02353,0.643373,-0.180496,1.00215,-0.968259,-1.44452,-2.17134,0.00113476,0.00204738,-0.00220464,-0.00232924,-0.00316395,-0.0040114,2.3125
0.267,0.2435,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.337739,-0.224451,0.800042,-2.4442,0.0937221,-0.0772555,-0.381211,0.182799,0.0141297,-1.15403,-1.17892,-0.396025,1.02106,-0.380591,0.182897,0.0150961,-1.15548,-1.18025,-0.392802,1.02385,0.643431,-0.18045,1.00209,-0.966409,-1.44462,-2.17346,0.000916641,0.00169635,-0.00191475,-0.00211447,-0.00312784,-0.00238886,3.8125
0.268,0.244,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.33723,-0.223377,0.796074,-2.49259,0.069704,-0.00204265,-0.381075,0.182799,0.014266,-1.15424,-1.1791,-0.395433,1.02151,-0.380621,0.182873,0.0152784,-1.15569,-1.18067,-0.392534,1.02441,0.643491,-0.180388,1.00203,-0.964837,-1.44467,-2.17527,0.000724199,0.00132333,-0.00166751,-0.00257733,-0.00346755,-0.000540704,4.0625
0.2665,0.2465,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.33824,-0.224233,0.800434,-2.47316,0.107886,-0.134247,-0.380973,0.182799,0.0144365,-1.15447,-1.17928,-0.394886,1.02196,-0.380669,0.182859,0.0154011,-1.1558,-1.18097,-0.392415,1.02481,0.643553,-0.180324,1.00195,-0.963656,-1.44473,-2.17665,0.000500568,0.0010998,-0.00144213,-0.0028479,-0.00326979,0.000551876,3.6875
0.2665,0.2465,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.335893,-0.222047,0.793867,-2.49009,0.0975511,-0.0428962,-0.38087,0.182799,0.0145899,-1.1547,-1.17946,-0.39437,1.02238,-0.380751,0.182838,0.0155766,-1.15596,-1.18141,-0.392286,1.02539,0.643612,-0.180263,1.00187,-0.962551,-1.44477,-2.17795,0.000328007,0.00101768,-0.00112228,-0.00288105,-0.00282613,0.00153106,2.1875
0.2665,0.2465,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.335893,-0.222047,0.793867,-2.49009,0.0975511,-0.0428962,-0.380785,0.182799,0.0147262,-1.15492,-1.17966,-0.393914,1.0228,-0.380802,0.182825,0.0156823,-1.15605,-1.18167,-0.392226,1.02572,0.643665,-0.180212,1.00179,-0.96162,-1.44483,-2.17905,0.000284593,0.00110161,-0.000975165,-0.00228242,-0.00261222,0.00191461,1.6875
