dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2465,0.3365,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121525,0.258101,-0.711546,-1.15499,1.6765,0.526171,-1.92,0.122345,0.257324,-0.709,-1.16087,1.66723,0.516947,-1.90707,0.656496,-0.200198,0.98263,-0.0677227,-1.5201,-3.10535,0.000795168,-0.000868599,-0.00603599,-0.00254762,-0.0122121,-0.0189754,5.0625
0.2465,0.338,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121525,0.258084,-0.711273,-1.15553,1.67553,0.525305,-1.91871,0.122512,0.25716,-0.708721,-1.16162,1.66624,0.515856,-1.90562,0.656559,-0.200259,0.982453,-0.0659478,-1.51981,-3.10762,0.00052454,-0.000650104,-0.00599027,-0.00245017,-0.0112568,-0.019014,6.8125
0.2465,0.337,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121525,0.258084,-0.711017,-1.15608,1.67462,0.524439,-1.91742,0.122639,0.25704,-0.708542,-1.16213,1.66562,0.515132,-1.90469,0.656627,-0.20033,0.982261,-0.063108,-1.51957,-3.11099,0.000345979,-0.000579597,-0.0061304,-0.0022878,-0.0113811,-0.0191261,6.4375
0.2465,0.337,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121542,0.258084,-0.710796,-1.15664,1.67371,0.523558,-1.91615,0.122843,0.256839,-0.708262,-1.16292,1.66464,0.514007,-1.90324,0.656692,-0.200411,0.982063,-0.0609117,-1.51933,-3.11374,7.5418e-05,-0.000306167,-0.00600022,-0.00195693,-0.0116054,-0.0190139,7.0625
0.246,0.3385,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121542,0.258084,-0.71054,-1.1572,1.6728,0.522662,-1.91489,0.122993,0.25669,-0.708076,-1.16346,1.66401,0.513253,-1.90228,0.656761,-0.200489,0.981863,-0.0589158,-1.5191,-3.1163,-7.87652e-05,-0.000168585,-0.00617444,-0.00202678,-0.0114578,-0.0192873,6.1875
0.2465,0.3365,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121594,0.258084,-0.710301,-1.15775,1.67189,0.521751,-1.91363,0.123246,0.256445,-0.707808,-1.16429,1.66311,0.512117,-1.90089,0.656836,-0.200542,0.981674,-0.0566901,-1.51884,-3.11906,-0.000562424,9.59728e-05,-0.0059416,-0.00231954,-0.010202,-0.019319,5.0625
0.2465,0.339,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121679,0.258084,-0.710046,-1.15834,1.67099,0.52084,-1.91236,0.123435,0.256266,-0.707642,-1.16485,1.66257,0.511359,-1.89998,0.656923,-0.200573,0.981453,-0.0548736,-1.51864,-3.12137,-0.000743545,8.29875e-05,-0.00604581,-0.00291311,-0.0104536,-0.0198495,4.9375
0.2465,0.337,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121798,0.25805,-0.70979,-1.15892,1.67011,0.519913,-1.9111,0.123721,0.255977,-0.707384,-1.16572,1.66172,0.510207,-1.89857,0.656996,-0.200584,0.981263,-0.0527319,-1.51839,-3.124,-0.00107749,6.17641e-05,-0.00594509,-0.00374091,-0.0107719,-0.0193118,5.8125
0.2465,0.337,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.121934,0.257999,-0.709551,-1.15954,1.66924,0.518972,-1.90984,0.123908,0.255773,-0.707204,-1.16631,1.66113,0.50944,-1.89758,0.657061,-0.200601,0.981065,-0.0506924,-1.51816,-3.12654,-0.00120591,-0.000121604,-0.00613989,-0.0045224,-0.0112925,-0.019573,5.3125
0.2465,0.3365,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.392523,-0.194579,0.755116,-2.39384,-0.0373007,-0.00341013,0.122088,0.257879,-0.709313,-1.16015,1.66836,0.51803,-1.9086,0.124163,0.255461,-0.706925,-1.16721,1.66021,0.508324,-1.89603,0.65709,-0.200611,0.980911,-0.0496227,-1.51785,-3.1281,-0.00146499,-0.000225589,-0.00609021,-0.0052757,-0.0112967,-0.0184165,7.4375
