dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2425,0.338,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.343794,-0.210457,0.800231,-2.46635,0.0930979,-0.120746,-0.344413,0.253789,-0.0109935,-1.06017,-1.09218,-0.41782,0.935548,-0.343518,0.255758,-0.0108262,-1.05945,-1.09194,-0.4148,0.936652,0.676541,-0.179958,1.00008,-1.08776,-1.46198,-2.03735,0.00705346,8.79332e-05,-0.00250128,-0.00371233,-0.000167479,-0.0140906,-10.2625
0.2425,0.338,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.343794,-0.210457,0.800231,-2.46635,0.0930979,-0.120746,-0.344464,0.253959,-0.0108401,-1.06019,-1.09242,-0.417592,0.935939,-0.343039,0.256105,-0.0110964,-1.05917,-1.09123,-0.414187,0.936117,0.676646,-0.179974,0.99999,-1.08719,-1.46201,-2.03798,0.00727134,0.000357439,-0.00221449,-0.00421241,0.00134461,-0.0166113,-11.1375
0.242,0.335,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.336416,-0.205762,0.783819,-2.45244,0.0788359,-0.0720465,-0.344481,0.254112,-0.0107379,-1.06019,-1.09259,-0.417349,0.93624,-0.342605,0.256341,-0.0113878,-1.05894,-1.09052,-0.413742,0.935517,0.676739,-0.179995,0.999918,-1.08653,-1.46204,-2.03873,0.00775102,0.000704571,-0.00213929,-0.00536724,0.00431813,-0.021154,-11.2625
0.243,0.338,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.33676,-0.205545,0.782973,-2.44733,0.0775983,-0.0758913,-0.344481,0.254283,-0.0106697,-1.06019,-1.09267,-0.417091,0.93648,-0.341787,0.256699,-0.011985,-1.05855,-1.08909,-0.413023,0.934268,0.676842,-0.180031,0.999828,-1.08613,-1.46211,-2.03928,0.00785753,0.00100276,-0.00195559,-0.00552537,0.00578079,-0.0236767,-11.0125
0.243,0.338,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.33676,-0.205545,0.782973,-2.44733,0.0775983,-0.0758913,-0.344464,0.25447,-0.0106356,-1.06017,-1.0927,-0.416802,0.936631,-0.34117,0.256944,-0.0124403,-1.05828,-1.08801,-0.412501,0.933304,0.67695,-0.180082,0.999736,-1.08593,-1.46215,-2.03967,0.00857747,0.0014423,-0.0020708,-0.00528298,0.00596192,-0.0259279,-8.7625
0.2415,0.3385,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.318146,-0.193768,0.739552,-2.45301,0.0358715,-0.0185253,-0.344447,0.254692,-0.0106186,-1.06017,-1.0927,-0.416483,0.936721,-0.340183,0.257328,-0.0131428,-1.05786,-1.08633,-0.411633,0.931792,0.677078,-0.180155,0.999611,-1.0863,-1.46217,-2.03955,0.0089888,0.00185442,-0.00207627,-0.00485566,0.00500053,-0.0264097,-9.3875
0.242,0.3355,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.337509,-0.205446,0.783821,-2.48108,0.0970812,-0.0446363,-0.344362,0.254914,-0.0106186,-1.06013,-1.09268,-0.416149,0.936751,-0.339511,0.2576,-0.0135948,-1.05758,-1.08524,-0.410994,0.930809,0.677211,-0.180192,0.999506,-1.08654,-1.46214,-2.03952,0.00971213,0.00221407,-0.00236131,-0.004677,0.00348721,-0.027333,-10.3875
0.2425,0.3375,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345377,-0.210323,0.802605,2.80442,-0.454985,1.19459,-0.344174,0.255152,-0.0106356,-1.06003,-1.09265,-0.41577,0.936751,-0.3385,0.258029,-0.0142321,-1.05717,-1.08366,-0.409951,0.929423,0.677364,-0.180177,0.999431,-1.08623,-1.46209,-2.03999,0.0102864,0.00231374,-0.0027385,-0.0047614,0.00225827,-0.02791,-11.2625
0.2425,0.3375,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345377,-0.210323,0.802605,2.80442,-0.454985,1.19459,-0.343919,0.255391,-0.0106356,-1.05988,-1.09242,-0.415359,0.936751,-0.337849,0.258333,-0.0146026,-1.05692,-1.08272,-0.409187,0.928621,0.677525,-0.180117,0.999376,-1.08513,-1.4622,-2.04123,0.0108359,0.00236705,-0.00325725,-0.00429933,-0.000851224,-0.0274343,-12.8875
0.245,0.3355,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.31675,-0.192483,0.737172,-2.44887,0.060457,-0.0529054,-0.343561,0.255663,-0.0106867,-1.05967,-1.09195,-0.414873,0.936691,-0.336962,0.258805,-0.0150255,-1.05659,-1.08158,-0.407959,0.927705,0.677713,-0.180039,0.999317,-1.08356,-1.46249,-2.04302,0.011671,0.00228796,-0.00374669,-0.00283613,-0.00479609,-0.0264432,-11.3875
