dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.27,0.2425,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.396447,-0.21415,0.816251,-2.36655,0.0219041,-0.269691,-0.721533,0.305364,0.458746,-1.02882,2.23083,0.555909,-2.15043,-0.721545,0.305498,0.458123,-1.02813,2.23192,0.557608,-2.15137,0.673428,-0.195666,0.981182,-3.10251,-1.53863,0.118714,-0.000340293,-0.00136095,-3.92269e-05,-0.00158349,0.00428591,0.00322158,11.6875
0.262,0.243,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.386475,-0.209081,0.795721,-2.30214,0.0254109,-0.267755,-0.721516,0.305364,0.458626,-1.02882,2.23102,0.556121,-2.15058,-0.721573,0.30553,0.458092,-1.02805,2.23197,0.557786,-2.15141,0.673418,-0.195693,0.981136,-3.10349,-1.53841,0.119725,-0.000308946,-0.00127715,-0.000147505,-0.00103654,0.00368679,0.00344742,11.4375
0.2645,0.2415,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.398632,-0.215123,0.819888,-2.38048,0.0283933,-0.230629,-0.721499,0.305364,0.458524,-1.02881,2.23118,0.556349,-2.15073,-0.721615,0.30558,0.458058,-1.02795,2.23203,0.558032,-2.15145,0.673407,-0.19571,0.981101,-3.10415,-1.5382,0.120445,-0.000164565,-0.00117596,-0.000143212,-0.00086026,0.00307393,0.00310811,11.4375
0.2645,0.245,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.372624,-0.201558,0.768499,-2.36026,-0.00290708,-0.189913,-0.721499,0.305382,0.458422,-1.02872,2.23135,0.556607,-2.15085,-0.721642,0.305619,0.458045,-1.02788,2.23206,0.558171,-2.15146,0.673391,-0.195743,0.98109,-3.10614,-1.53803,0.122492,0.000155462,-0.00112031,-0.000366544,-0.00141721,0.00220342,0.00294801,11.4375
0.2645,0.245,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.372624,-0.201558,0.768499,-2.36026,-0.00290708,-0.189913,-0.721499,0.305399,0.458336,-1.02857,2.2315,0.55685,-2.151,-0.721683,0.305686,0.458055,-1.0278,2.23207,0.558312,-2.15139,0.673369,-0.195772,0.981122,-3.1075,-1.53794,0.123902,0.000447723,-0.00096883,-0.000524285,-0.00210715,0.000813905,0.0021579,10.1875
0.27,0.2445,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.368196,-0.198458,0.757973,-2.31433,-0.0018062,-0.23555,-0.721499,0.305416,0.458268,-1.02843,2.23162,0.557108,-2.15112,-0.721715,0.30573,0.458082,-1.02778,2.23204,0.558347,-2.15129,0.67335,-0.195788,0.981147,-3.10864,-1.53784,0.125137,0.000652815,-0.00081647,-0.00091991,-0.00260206,-0.000520335,0.00110929,11.5625
0.2565,0.2405,0.944743,0.0535237,-2.87814,1.29879,0.319978,0.225687,0.944743,0.0535237,-2.87814,1.29879,-0.392651,-0.212067,0.808345,-2.35821,0.0262718,-0.214978,-0.721499,0.30545,0.458217,-1.0283,2.23173,0.557351,-2.15121,-0.721769,0.30579,0.458154,-1.0278,2.23195,0.558324,-2.15108,0.67334,-0.195803,0.981165,-3.1098,-1.53775,0.126408,0.000834316,-0.000560966,-0.00121487,-0.00187431,-0.00107481,0.000706389,12.1875
0.2635,0.242,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.400391,-0.215863,0.822642,-2.39218,0.0343786,-0.190657,-0.721499,0.305484,0.458166,-1.02816,2.23182,0.557579,-2.15127,-0.721803,0.305826,0.458213,-1.02784,2.23187,0.55827,-2.15093,0.67333,-0.195819,0.981185,-3.11148,-1.53768,0.12818,0.00104011,-0.000218725,-0.00158369,-0.000523512,-0.00158291,-0.000193281,11.9375
0.2685,0.2395,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.367543,-0.198428,0.75659,-2.29351,-0.016105,-0.217857,-0.721499,0.305518,0.458132,-1.02807,2.2319,0.557777,-2.15133,-0.721849,0.30587,0.458316,-1.02794,2.23172,0.558119,-2.15069,0.673328,-0.195828,0.981183,-3.11203,-1.53758,0.128832,0.0011467,-6.01729e-05,-0.00184798,7.30265e-05,-0.00194856,-0.000536289,11.5625
0.2685,0.2395,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.367543,-0.198428,0.75659,-2.29351,-0.016105,-0.217857,-0.721499,0.305569,0.458115,-1.02801,2.23194,0.557944,-2.15133,-0.721879,0.305897,0.458397,-1.02804,2.2316,0.557973,-2.1505,0.673336,-0.195837,0.981168,-3.11292,-1.5375,0.129824,0.00136353,0.000130279,-0.00218141,-0.000833904,-0.00299647,-0.00212912,12.0625
0.2575,0.243,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.397682,-0.21501,0.819613,-2.33153,0.0515683,-0.243504,-0.721516,0.30562,0.458115,-1.02795,2.23196,0.558065,-2.15133,-0.721912,0.305927,0.458522,-1.02823,2.23142,0.557673,-2.15016,0.673346,-0.195853,0.981151,-3.11273,-1.53744,0.129706,0.00156836,0.000137248,-0.00241697,-0.00239233,-0.00329316,-0.00330009,11.4375
0.264,0.2405,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.386992,-0.208794,0.795902,-2.33266,0.0232529,-0.203288,-0.721516,0.305671,0.458115,-1.0279,2.23197,0.558141,-2.15133,-0.72192,0.305944,0.458599,-1.02837,2.23132,0.557432,-2.14992,0.67336,-0.195864,0.981138,-3.11255,-1.5374,0.129585,0.0017597,0.000251753,-0.00272602,-0.00458244,-0.00349536,-0.00515227,11.4375
0.263,0.243,0.930258,-0.0492701,2.82757,-1.3114,0.314656,0.222204,0.930258,-0.0492701,2.82757,-1.3114,-0.370938,-0.20079,0.764263,-2.33052,-0.0232442,-0.204409,-0.721533,0.305722,0.458115,-1.0279,2.23196,0.558172,-2.15133,-0.721902,0.305963,0.4587,-1.02861,2.23121,0.557003,-2.14954,0.673378,-0.19589,0.981104,-3.111,-1.53736,0.12804,0.0019718,0.000399412,-0.00295888,-0.00507625,-0.00357533,-0.00622785,11.9375
