dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2685,0.2375,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.368445,-0.209278,0.745915,-2.41283,0.101385,0.0694024,-1.36146,0.693973,1.81088,-1.16081,-2.00648,0.428163,2.63926,-1.36684,0.690583,1.80675,-1.16787,-2.00286,0.418929,2.62985,0.61828,-0.271596,0.984538,-1.24227,-1.38729,-1.93273,-0.00284839,0.00234757,-0.00614859,-0.00814791,-0.0109795,-0.0110325,-2.0625
0.2685,0.236,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.368445,-0.209278,0.745915,-2.41283,0.101385,0.0694024,-1.36189,0.693751,1.81057,-1.16136,-2.0062,0.427403,2.63854,-1.36739,0.690212,1.80635,-1.16861,-2.0025,0.41806,2.62894,0.618239,-0.271603,0.98444,-1.2409,-1.38724,-1.93423,-0.00310331,0.0024462,-0.00643555,-0.00985615,-0.0105557,-0.0112449,-2.0625
0.269,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.365475,-0.207064,0.739139,-2.41974,0.0853864,0.0685857,-1.36233,0.693547,1.81027,-1.16192,-2.00593,0.426644,2.63782,-1.36826,0.689649,1.80578,-1.16978,-2.00194,0.416749,2.62762,0.618197,-0.271623,0.984329,-1.23962,-1.38717,-1.93565,-0.00358037,0.00259304,-0.00674847,-0.0126421,-0.0094879,-0.0110444,-3.9375
0.269,0.2365,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.388654,-0.219588,0.786299,-2.44853,0.126266,0.0913111,-1.36277,0.693308,1.80994,-1.16248,-2.00566,0.425869,2.63706,-1.36887,0.689278,1.80543,-1.17058,-2.00157,0.415891,2.62677,0.618153,-0.27163,0.984228,-1.23828,-1.38711,-1.93714,-0.00399599,0.00266544,-0.00709643,-0.014119,-0.00938636,-0.0109732,-2.4375
0.269,0.2365,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.388654,-0.219588,0.786299,-2.44853,0.126266,0.0913111,-1.36323,0.693036,1.80962,-1.16308,-2.00537,0.42508,2.63628,-1.36984,0.688733,1.80495,-1.17185,-2.00101,0.414597,2.62556,0.618104,-0.271614,0.984129,-1.23687,-1.38708,-1.93869,-0.00462398,0.00269363,-0.0074467,-0.0156972,-0.0081675,-0.00955521,-2.9375
0.2685,0.237,0.93083,-0.319856,-2.48022,-0.480083,0.311226,0.222711,0.93083,-0.319856,-2.48022,-0.480083,-0.365475,-0.207064,0.739139,-2.41974,0.0853864,0.0685857,-1.36369,0.692746,1.80925,-1.16368,-2.00505,0.42426,2.63547,-1.37053,0.688388,1.80468,-1.17273,-2.00065,0.413756,2.6248,0.618061,-0.271609,0.984025,-1.2354,-1.38706,-1.94033,-0.00513802,0.00269636,-0.00798486,-0.0171109,-0.00720734,-0.00891682,-2.0625
0.2685,0.238,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.365475,-0.207064,0.739139,-2.41974,0.0853864,0.0685857,-1.3642,0.692405,1.80887,-1.16434,-2.00472,0.423409,2.6346,-1.37162,0.687917,1.80436,-1.17411,-2.00013,0.41253,2.62377,0.618005,-0.271578,0.98392,-1.23389,-1.38708,-1.94203,-0.00579993,0.00244082,-0.00876029,-0.0206312,-0.00697855,-0.00734735,-2.0625
0.2685,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.366229,-0.207161,0.740726,-2.39804,0.0725745,0.0677512,-1.36471,0.692064,1.80844,-1.16502,-2.00435,0.422528,2.63369,-1.37241,0.687631,1.80419,-1.17509,-1.99978,0.411678,2.62315,0.617958,-0.271561,0.983795,-1.23242,-1.38711,-1.94371,-0.00629197,0.00228312,-0.0094201,-0.0229061,-0.00867533,-0.00635448,-2.3125
0.2685,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.366229,-0.207161,0.740726,-2.39804,0.0725745,0.0677512,-1.36528,0.691689,1.808,-1.16577,-2.00396,0.421587,2.63267,-1.37368,0.687245,1.804,-1.17669,-1.99921,0.410281,2.62225,0.617903,-0.271533,0.983662,-1.23092,-1.38711,-1.94542,-0.00692905,0.00220653,-0.010176,-0.0247947,-0.00978371,-0.00407074,-3.1875
0.269,0.2345,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.365189,-0.205739,0.737996,-2.39361,0.0964361,0.0344432,-1.36587,0.691297,1.80754,-1.16656,-2.00355,0.420599,2.63165,-1.37458,0.687019,1.80393,-1.17781,-1.99883,0.409322,2.6217,0.617843,-0.271508,0.983524,-1.22927,-1.38715,-1.94731,-0.00762708,0.00228991,-0.0109023,-0.0256131,-0.00935327,-0.00255518,-2.8125
0.2685,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.365189,-0.205739,0.737996,-2.39361,0.0964361,0.0344432,-1.3665,0.690888,1.80706,-1.16739,-2.00311,0.419567,2.63054,-1.37601,0.686732,1.80393,-1.17959,-1.9983,0.407898,2.62096,0.617779,-0.271478,0.983374,-1.22762,-1.38716,-1.94919,-0.00843027,0.00222993,-0.0116181,-0.0271161,-0.00871215,-0.000367513,-2.3125
0.2715,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.365189,-0.205739,0.737996,-2.39361,0.0964361,0.0344432,-1.36717,0.690445,1.8066,-1.16828,-2.00263,0.418519,2.62945,-1.37703,0.686566,1.80399,-1.18085,-1.99795,0.406927,2.62051,0.617705,-0.271424,0.983226,-1.22577,-1.38728,-1.95128,-0.00902581,0.00215163,-0.0120218,-0.0289622,-0.00939848,0.000523672,-2.6875
0.2715,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.365189,-0.205739,0.737996,-2.39361,0.0964361,0.0344432,-1.36787,0.689985,1.80616,-1.16923,-2.00219,0.41744,2.62837,-1.37865,0.686339,1.80413,-1.18281,-1.99741,0.405412,2.61988,0.617626,-0.271343,0.983067,-1.22392,-1.38741,-1.95331,-0.00979005,0.00234094,-0.0124186,-0.0323144,-0.00940621,0.000687546,-2.0625
0.2675,0.238,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.361426,-0.203801,0.731753,-2.9151,0.625636,-1.37432,-1.36863,0.689541,1.80572,-1.17022,-2.00174,0.416377,2.62732,-1.37977,0.686177,1.80426,-1.18417,-1.99704,0.404407,2.61949,0.617533,-0.271301,0.982886,-1.22221,-1.38759,-1.95527,-0.0103753,0.00261282,-0.0121059,-0.0331093,-0.00592172,0.000567258,-1.6875
0.269,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.362098,-0.203135,0.731005,-2.37622,0.0753607,0.0950111,-1.36942,0.689081,1.80534,-1.17126,-2.0013,0.415314,2.62633,-1.38149,0.685918,1.80455,-1.18618,-1.99657,0.403134,2.61902,0.61743,-0.27121,0.982714,-1.22031,-1.38784,-1.95734,-0.0115701,0.00347739,-0.0120765,-0.0344576,0.000284378,-0.00103646,-1.9375
0.269,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.362623,-0.203251,0.731354,-2.37841,0.0714495,0.0667083,-1.37027,0.688655,1.80498,-1.17235,-2.00084,0.414236,2.62539,-1.38266,0.685711,1.80479,-1.18752,-1.9963,0.402427,2.61875,0.617315,-0.271152,0.982516,-1.21839,-1.38815,-1.95946,-0.0119801,0.00399539,-0.0117297,-0.0349272,0.00400409,-0.00203652,-2.3125
0.269,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.362623,-0.203251,0.731354,-2.37841,0.0714495,0.0667083,-1.37117,0.688246,1.80468,-1.17351,-2.0004,0.413142,2.62449,-1.38446,0.685321,1.80516,-1.18954,-1.99593,0.401481,2.61832,0.617189,-0.271085,0.982304,-1.21646,-1.38848,-1.96154,-0.0126914,0.00511029,-0.0120215,-0.0369528,0.00657501,-0.0041655,-2.0625
0.2685,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.391184,-0.219357,0.788971,-2.88373,0.707059,-1.38422,-1.37213,0.687854,1.80444,-1.17472,-1.99996,0.412033,2.62368,-1.3857,0.685,1.80538,-1.19094,-1.99567,0.400865,2.61798,0.617047,-0.271009,0.982091,-1.21429,-1.38888,-1.96384,-0.0127747,0.00575276,-0.0120762,-0.0373969,0.00794578,-0.00578814,-2.1875
0.2725,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.385902,-0.215698,0.778593,-2.40367,0.111082,0.0852723,-1.37315,0.68753,1.80427,-1.176,-1.99952,0.410909,2.6229,-1.3876,0.684413,1.80564,-1.19309,-1.99526,0.399917,2.61732,0.616891,-0.270956,0.98185,-1.21217,-1.38926,-1.96604,-0.0130351,0.00713146,-0.0125172,-0.0370571,0.00990041,-0.00652737,-2.4375
0.2685,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.363424,-0.20204,0.731679,-2.37874,0.0714911,0.0625264,-1.37424,0.687223,1.80415,-1.17736,-1.99908,0.40977,2.62221,-1.3889,0.68397,1.80579,-1.19458,-1.99498,0.39928,2.6168,0.616721,-0.270898,0.981588,-1.20995,-1.38975,-1.96833,-0.0134485,0.0080494,-0.0131017,-0.0366069,0.0107418,-0.00713362,-2.0625
0.2685,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.363424,-0.20204,0.731679,-2.37874,0.0714911,0.0625264,-1.3754,0.686951,1.80411,-1.1788,-1.99863,0.408616,2.62154,-1.39093,0.683206,1.80596,-1.19693,-1.99455,0.398261,2.61583,0.616531,-0.270838,0.981317,-1.2076,-1.39025,-1.9707,-0.0133755,0.00930347,-0.0135383,-0.035749,0.0114461,-0.00856909,-1.6875
0.2685,0.237,0.929536,-0.0479606,2.82402,-1.31194,0.311138,0.221999,0.929536,-0.0479606,2.82402,-1.31194,-0.363424,-0.20204,0.731679,-2.37874,0.0714911,0.0625264,-1.37661,0.686695,1.80411,-1.1803,-1.99818,0.407447,2.62094,-1.3923,0.682623,1.80599,-1.19855,-1.99423,0.397519,2.61505,0.616332,-0.270775,0.981026,-1.20523,-1.3908,-1.97306,-0.0134143,0.0102538,-0.0142109,-0.036639,0.0109053,-0.0102087,-1.6875
