dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2785,0.2385,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.31165,-0.188097,0.725311,-2.46395,0.0321947,-0.0593316,-0.311262,0.251488,-0.0145899,-1.06242,-1.06622,-0.352238,0.913531,-0.310619,0.248845,-0.0155582,-1.06638,-1.06376,-0.351438,0.913981,0.680549,-0.169955,1.005,-0.905571,-1.44721,-2.24969,-0.00429177,0.00137628,-0.00242507,-0.0098768,0.00761433,-0.0100295,-0.8125
0.279,0.2385,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.331202,-0.199982,0.770806,-2.50393,0.0675762,-0.0405863,-0.311262,0.251232,-0.0146069,-1.06278,-1.06615,-0.352269,0.913591,-0.31042,0.248604,-0.015741,-1.06674,-1.06334,-0.351263,0.913811,0.680443,-0.16993,1.00497,-0.905936,-1.44737,-2.24934,-0.00409542,0.00149898,-0.00246687,-0.0104483,0.00825362,-0.0114268,0.1875
0.276,0.2385,0.935082,-0.00157752,2.79184,-1.35728,0.318326,0.222549,0.935082,-0.00157752,2.79184,-1.35728,-0.331264,-0.201105,0.773896,-2.9894,0.410264,-1.10394,-0.311262,0.250976,-0.0146069,-1.06317,-1.06596,-0.352284,0.913681,-0.310065,0.248235,-0.0160549,-1.06731,-1.06262,-0.350937,0.913496,0.680343,-0.169903,1.00491,-0.906087,-1.44765,-2.24923,-0.00411768,0.00173389,-0.0027049,-0.0113842,0.00819172,-0.0133293,2.4375
0.276,0.2385,0.935082,-0.00157752,2.79184,-1.35728,0.318326,0.222549,0.935082,-0.00157752,2.79184,-1.35728,-0.331264,-0.201105,0.773896,-2.9894,0.410264,-1.10394,-0.311262,0.250687,-0.014624,-1.06354,-1.06574,-0.352284,0.913771,-0.309833,0.247988,-0.0162396,-1.0677,-1.06218,-0.350677,0.913337,0.680221,-0.169882,1.00488,-0.905666,-1.44796,-2.24974,-0.00394094,0.00188529,-0.00282589,-0.0114152,0.00726586,-0.013442,2.1875
0.2785,0.2385,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.31165,-0.188097,0.725311,-2.46395,0.0321947,-0.0593316,-0.311245,0.250397,-0.0146921,-1.06395,-1.06549,-0.352269,0.913832,-0.309504,0.247599,-0.0164726,-1.06835,-1.06158,-0.350245,0.913189,0.680098,-0.169879,1.00484,-0.905527,-1.44828,-2.25,-0.00404313,0.00211555,-0.0031459,-0.011419,0.00679785,-0.013544,0.1875
0.277,0.2385,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.32391,-0.19575,0.754605,-2.50279,0.0670177,-0.0190762,-0.311245,0.250124,-0.0148114,-1.06436,-1.06524,-0.352238,0.913922,-0.309275,0.247337,-0.0166307,-1.06879,-1.06117,-0.349941,0.913082,0.679977,-0.169921,1.00478,-0.90524,-1.44864,-2.2505,-0.00406311,0.00222631,-0.00331131,-0.0113332,0.00722259,-0.0142426,0.5625
0.2775,0.2385,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.345276,-0.210066,0.807412,2.96033,-0.359162,1.06526,-0.311211,0.249851,-0.0149648,-1.06479,-1.06495,-0.352102,0.913952,-0.308897,0.246924,-0.016893,-1.06949,-1.06051,-0.349451,0.912871,0.679858,-0.169976,1.00472,-0.904945,-1.44896,-2.2511,-0.00412852,0.00252645,-0.00358203,-0.0107112,0.0076616,-0.0147007,-1.0625
0.2775,0.2385,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.345276,-0.210066,0.807412,2.96033,-0.359162,1.06526,-0.311108,0.249562,-0.0151182,-1.06525,-1.06461,-0.351919,0.913952,-0.308642,0.24664,-0.0170603,-1.06997,-1.06008,-0.349113,0.912732,0.679744,-0.16999,1.00466,-0.904662,-1.44929,-2.25167,-0.00427214,0.00268309,-0.00369843,-0.0101567,0.00749523,-0.0146604,-0.4375
0.2795,0.2385,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.324754,-0.195853,0.754947,-2.50763,0.067731,-0.0164766,-0.310955,0.249272,-0.0152716,-1.06567,-1.06425,-0.351722,0.913952,-0.308254,0.246215,-0.0172944,-1.07071,-1.05947,-0.348576,0.912535,0.679635,-0.169972,1.00461,-0.90398,-1.44962,-2.2526,-0.0039808,0.00300591,-0.00382192,-0.00955775,0.00703351,-0.0146801,0.8125
0.2775,0.238,0.940138,-0.0273619,2.81976,-1.32227,0.319233,0.224169,0.940138,-0.0273619,2.81976,-1.32227,-0.312171,-0.188202,0.725688,-2.46759,0.0356264,-0.0223674,-0.310767,0.248982,-0.0154591,-1.06613,-1.06382,-0.351494,0.913952,-0.307982,0.245932,-0.0174554,-1.07121,-1.05904,-0.348199,0.912398,0.679531,-0.169957,1.00455,-0.903265,-1.45002,-2.25361,-0.00396672,0.00309632,-0.0039765,-0.0102046,0.00731216,-0.0152115,-0.0625
