dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.255,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.326877,-0.160703,0.804056,-2.37653,0.085359,0.0805586,-0.833719,0.307325,0.667657,-1.17694,-0.450747,-0.212677,0.464917,-0.822368,0.302682,0.654121,-1.18136,-0.445206,-0.209688,0.454521,0.684522,-0.215725,0.934175,-1.71423,-1.40057,-1.52024,0.00123725,0.0085521,-0.00249784,0.000367647,0.00604695,-0.0123988,-6.8875
0.253,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.314709,-0.154168,0.771652,-2.31448,0.0842644,0.0816885,-0.8329,0.306881,0.666617,-1.17745,-0.450322,-0.212373,0.464104,-0.820834,0.302234,0.652387,-1.18168,-0.444496,-0.20939,0.453166,0.684485,-0.215555,0.934072,-1.71544,-1.40064,-1.51939,0.00139135,0.00854137,-0.00227119,0.000296553,0.00636363,-0.0124651,-7.0125
0.253,0.277,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.324721,-0.160168,0.799704,-2.34833,0.0959642,0.0560332,-0.832014,0.306438,0.665526,-1.17794,-0.449866,-0.212069,0.463292,-0.819743,0.301932,0.651152,-1.18187,-0.443982,-0.209209,0.452211,0.684457,-0.21537,0.933973,-1.71667,-1.40074,-1.51851,0.00172949,0.00844474,-0.00197955,-0.000209272,0.00630722,-0.0126399,-8.2625
0.255,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.332325,-0.165043,0.821381,2.57795,-0.493397,1.01296,-0.831077,0.305978,0.664384,-1.17842,-0.449396,-0.21178,0.46239,-0.818095,0.301504,0.649303,-1.18212,-0.443203,-0.208929,0.45079,0.684428,-0.215172,0.933887,-1.71782,-1.4008,-1.5177,0.00191617,0.00856773,-0.00200312,-0.000303953,0.0056504,-0.012763,-7.3875
0.255,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.332325,-0.165043,0.821381,2.57795,-0.493397,1.01296,-0.830105,0.305518,0.663208,-1.17885,-0.44891,-0.211507,0.461488,-0.817008,0.301236,0.648101,-1.18228,-0.442693,-0.208719,0.449866,0.684398,-0.214973,0.933824,-1.71881,-1.40088,-1.51705,0.00222389,0.00842252,-0.00181653,-7.2998e-05,0.00407055,-0.012295,-7.8875
0.2565,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.335313,-0.164882,0.826595,-2.39909,0.072802,0.0859785,-0.8291,0.305075,0.661981,-1.17929,-0.448408,-0.211234,0.460555,-0.815377,0.30085,0.64632,-1.18251,-0.441935,-0.208376,0.448492,0.684378,-0.214785,0.933737,-1.72003,-1.40095,-1.51619,0.00235212,0.0085685,-0.00188114,0.000112538,0.00381656,-0.0124369,-6.0125
0.255,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.329442,-0.163069,0.815259,2.58507,-0.499915,1.08234,-0.828043,0.304632,0.66072,-1.17968,-0.447877,-0.21096,0.459593,-0.814281,0.300603,0.645129,-1.18265,-0.441426,-0.208152,0.447574,0.684361,-0.214587,0.933675,-1.72102,-1.40103,-1.51555,0.00250736,0.008368,-0.00172001,0.000292171,0.00385186,-0.0118078,-7.0125
0.255,0.2775,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.329096,-0.16308,0.815286,-3.13919,0.589566,-1.27105,-0.826952,0.304205,0.659424,-1.18004,-0.44733,-0.210702,0.4586,-0.812606,0.300236,0.643308,-1.18285,-0.440643,-0.207834,0.446176,0.684352,-0.214394,0.933616,-1.72199,-1.40109,-1.51493,0.00263566,0.00855536,-0.00175402,-0.00010616,0.00428322,-0.0123001,-8.2625
0.255,0.2775,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.329096,-0.16308,0.815286,-3.13919,0.589566,-1.27105,-0.825827,0.303796,0.658112,-1.1804,-0.446783,-0.210429,0.457608,-0.811487,0.300005,0.642095,-1.18296,-0.440114,-0.207633,0.445251,0.684353,-0.214195,0.933548,-1.72296,-1.40115,-1.51429,0.00288552,0.00836122,-0.00168825,-0.000558173,0.00403858,-0.0120493,-7.3875
0.2535,0.279,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.329096,-0.16308,0.815286,-3.13919,0.589566,-1.27105,-0.824651,0.303404,0.656765,-1.18072,-0.446237,-0.210186,0.456555,-0.809741,0.29966,0.640213,-1.18312,-0.439279,-0.207298,0.443832,0.684366,-0.213986,0.933482,-1.72394,-1.40114,-1.51363,0.00315657,0.00850262,-0.00182825,-0.00143011,0.00360561,-0.0127829,-7.3875
0.2545,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.329607,-0.162603,0.815234,-2.42336,0.100012,0.0759523,-0.823441,0.303029,0.655368,-1.18101,-0.445675,-0.209928,0.455502,-0.808563,0.299442,0.638954,-1.18323,-0.438709,-0.207051,0.442897,0.684384,-0.213795,0.933422,-1.7248,-1.40116,-1.51311,0.00348342,0.00859953,-0.00192667,-0.00235434,0.00348262,-0.012957,-7.1375
0.2555,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.32954,-0.162922,0.815079,-2.39886,0.0863839,0.0827791,-0.822214,0.302671,0.653953,-1.1813,-0.445113,-0.209685,0.454419,-0.806717,0.299111,0.636973,-1.18337,-0.437801,-0.206698,0.44144,0.68441,-0.213606,0.933349,-1.72578,-1.40113,-1.51246,0.00352797,0.00841907,-0.00192165,-0.00274263,0.0045297,-0.0129996,-6.3875
0.2555,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.32954,-0.162922,0.815079,-2.39886,0.0863839,0.0827791,-0.820935,0.302314,0.652521,-1.18157,-0.44452,-0.209426,0.453336,-0.805414,0.298879,0.635556,-1.18346,-0.437149,-0.206488,0.440406,0.684444,-0.213396,0.933285,-1.72666,-1.40114,-1.5119,0.00357235,0.00884388,-0.0022666,-0.0032295,0.00607373,-0.0144351,-7.5125
0.2565,0.2775,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.359933,-0.177093,0.891259,-2.43676,0.140211,0.0657247,-0.819623,0.301956,0.651056,-1.18181,-0.443928,-0.209183,0.452193,-0.803426,0.298525,0.633396,-1.18362,-0.436152,-0.206154,0.438832,0.684478,-0.213184,0.933236,-1.7274,-1.40111,-1.51147,0.00375732,0.00881499,-0.0024139,-0.00319044,0.00514838,-0.0139634,-7.0125
0.2545,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.365724,-0.180557,0.904572,-2.46064,0.140951,0.0595445,-0.818294,0.301598,0.649573,-1.18203,-0.44332,-0.208925,0.45102,-0.802111,0.298308,0.632001,-1.18373,-0.435503,-0.205876,0.437813,0.684513,-0.212973,0.933198,-1.72798,-1.40107,-1.51121,0.00445246,0.00946077,-0.00287202,-0.00280214,0.00318528,-0.014036,-7.1375
0.2545,0.279,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.332824,-0.164386,0.825941,-2.41985,0.0864089,0.0792715,-0.816947,0.301257,0.648073,-1.18222,-0.442683,-0.208667,0.449817,-0.800133,0.298008,0.629952,-1.18393,-0.434542,-0.205369,0.436313,0.684552,-0.212771,0.933168,-1.72847,-1.40102,-1.51105,0.00474117,0.009572,-0.00313803,-0.0026098,0.00238021,-0.0138179,-7.3875
0.2545,0.279,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.332824,-0.164386,0.825941,-2.41985,0.0864089,0.0792715,-0.815584,0.300933,0.646556,-1.18243,-0.442045,-0.208409,0.448644,-0.798738,0.297803,0.628514,-1.18407,-0.433869,-0.205011,0.435256,0.684601,-0.212571,0.933115,-1.72916,-1.401,-1.51069,0.00509126,0.0103044,-0.00363044,-0.00223224,0.0037641,-0.0143378,-6.5125
0.256,0.2775,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.327586,-0.163052,0.815168,-3.14084,0.589216,-1.26873,-0.814186,0.300609,0.645039,-1.18261,-0.441361,-0.208135,0.447501,-0.796529,0.297478,0.626227,-1.18429,-0.4328,-0.204482,0.433571,0.684654,-0.212353,0.933075,-1.72978,-1.40105,-1.51039,0.00532434,0.0109149,-0.00393817,-0.0021475,0.00458155,-0.0148591,-6.7625
0.2555,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.330286,-0.163126,0.82151,-2.39031,0.103603,0.086303,-0.812788,0.300302,0.643505,-1.18278,-0.440693,-0.207877,0.446328,-0.794976,0.297246,0.624625,-1.18447,-0.432048,-0.204101,0.432392,0.68471,-0.212151,0.933031,-1.73039,-1.40105,-1.5101,0.00557046,0.0114748,-0.00441817,-0.00316494,0.00415763,-0.0149953,-7.6375
0.255,0.2785,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.330046,-0.163735,0.820871,-2.43875,0.131337,0.078603,-0.81134,0.300013,0.641954,-1.18294,-0.439994,-0.207589,0.445185,-0.792623,0.296906,0.622228,-1.18476,-0.4309,-0.203454,0.43065,0.68478,-0.211935,0.932988,-1.73092,-1.40111,-1.50988,0.00604086,0.0120714,-0.00487594,-0.00459559,0.00382305,-0.0162192,-5.7625
0.255,0.2785,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.330046,-0.163735,0.820871,-2.43875,0.131337,0.078603,-0.809874,0.299723,0.640369,-1.18307,-0.43928,-0.207315,0.443982,-0.790976,0.296676,0.620562,-1.18499,-0.430085,-0.202961,0.429459,0.684848,-0.211727,0.932951,-1.73143,-1.40113,-1.50969,0.0064155,0.0128108,-0.00552289,-0.00687279,0.00354576,-0.0178115,-6.7625
0.256,0.2775,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.326044,-0.161905,0.809853,-2.4941,0.152171,0.147656,-0.808374,0.299416,0.63875,-1.18319,-0.438567,-0.207042,0.442809,-0.788329,0.296293,0.617876,-1.18538,-0.428756,-0.202129,0.427565,0.684913,-0.211509,0.932931,-1.73184,-1.4012,-1.5096,0.00679187,0.0136993,-0.00611073,-0.00837162,0.00400082,-0.0199226,-8.0125
0.255,0.2775,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.348931,-0.172599,0.870771,-2.41689,0.126509,0.0959581,-0.80684,0.299126,0.637096,-1.18333,-0.437822,-0.206738,0.441576,-0.786467,0.296017,0.615989,-1.18569,-0.427817,-0.201508,0.426242,0.684988,-0.211296,0.932892,-1.7323,-1.40124,-1.50949,0.00725447,0.0149514,-0.00709101,-0.00896508,0.00320317,-0.0214966,-7.5125
0.2545,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.325171,-0.159881,0.808866,-2.36646,0.0970812,0.0568866,-0.805255,0.298854,0.635409,-1.18347,-0.437063,-0.206419,0.440343,-0.783519,0.295578,0.613047,-1.18625,-0.426358,-0.200406,0.424162,0.685076,-0.211075,0.932841,-1.73281,-1.40129,-1.50931,0.00776784,0.0161703,-0.00768641,-0.00822964,0.00150622,-0.0223704,-6.7625
0.2545,0.278,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.325171,-0.159881,0.808866,-2.36646,0.0970812,0.0568866,-0.803636,0.298581,0.633687,-1.18362,-0.436273,-0.206085,0.439049,-0.781507,0.295281,0.611085,-1.18668,-0.42539,-0.199549,0.422753,0.685169,-0.21085,0.932779,-1.73336,-1.40131,-1.5091,0.00846965,0.0179113,-0.00880213,-0.00683047,-0.00109891,-0.0232404,-6.1375
0.2535,0.2805,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.331097,-0.163536,0.825331,-2.42064,0.0872824,0.0845808,-0.801965,0.298291,0.631915,-1.18379,-0.435453,-0.205736,0.437726,-0.778355,0.294813,0.60806,-1.18744,-0.423908,-0.198087,0.420556,0.685262,-0.210613,0.932715,-1.73396,-1.40135,-1.50886,0.00882019,0.018761,-0.00934474,-0.00645646,-0.00203171,-0.0237076,-6.0125
