dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2535,0.3275,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.372568,-0.163142,0.856215,-2.49888,-0.399014,0.209102,0.175402,0.270748,-0.719198,-1.01062,-0.970509,-0.490054,0.699465,0.188659,0.278872,-0.736709,-0.999468,-0.944872,-0.492187,0.663332,0.661333,-0.174462,1.02333,-2.04542,-1.5433,-1.21861,0.00592469,0.00372984,0.00238998,0.0102953,0.0171023,-0.019523,8.48875
0.2535,0.33,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.36417,-0.160165,0.839669,2.48822,-0.00816263,1.28013,0.176374,0.271344,-0.720426,-1.00989,-0.968625,-0.490008,0.696969,0.189342,0.279359,-0.737742,-0.99873,-0.943457,-0.492556,0.66118,0.661542,-0.174343,1.02335,-2.05615,-1.54309,-1.20866,0.00559778,0.00353027,0.0020087,0.0107465,0.0152915,-0.0178672,10.3638
0.2545,0.33,0.964132,-0.335379,-2.41172,-0.584347,0.358656,0.203247,0.964132,-0.335379,-2.41172,-0.584347,-0.367808,-0.161538,0.847939,-2.47667,-0.391494,0.204333,0.177345,0.271907,-0.721636,-1.00915,-0.966772,-0.489978,0.694442,0.190019,0.279837,-0.738753,-0.998019,-0.942082,-0.492891,0.65907,0.661734,-0.174215,1.0234,-2.06452,-1.54282,-1.20105,0.00542217,0.00339929,0.00185192,0.0112414,0.0134925,-0.0169625,13.9888
0.2545,0.33,0.964132,-0.335379,-2.41172,-0.584347,0.358656,0.203247,0.964132,-0.335379,-2.41172,-0.584347,-0.367808,-0.161538,0.847939,-2.47667,-0.391494,0.204333,0.178334,0.272486,-0.722863,-1.00842,-0.96495,-0.489947,0.691946,0.190644,0.280288,-0.739678,-0.997369,-0.94085,-0.493162,0.657108,0.661935,-0.174079,1.02344,-2.07305,-1.54257,-1.19326,0.00561719,0.003307,0.00169769,0.0129233,0.0115042,-0.0159777,12.4888
0.253,0.3295,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.367808,-0.161538,0.847939,-2.47667,-0.391494,0.204333,0.179305,0.273049,-0.72409,-1.00771,-0.963112,-0.489932,0.689449,0.191234,0.28074,-0.740561,-0.996728,-0.939703,-0.493415,0.655198,0.662125,-0.173957,1.02349,-2.08187,-1.5423,-1.18521,0.00532983,0.00307425,0.00155608,0.0135699,0.00998822,-0.0136635,8.98875
0.255,0.328,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.367808,-0.161538,0.847939,-2.47667,-0.391494,0.204333,0.180277,0.273611,-0.725317,-1.00696,-0.96129,-0.489947,0.686953,0.19174,0.281162,-0.741336,-0.996136,-0.938725,-0.493656,0.653469,0.662312,-0.173825,1.02354,-2.09007,-1.54205,-1.17774,0.00539159,0.00306151,0.00153021,0.0139357,0.00977251,-0.0134113,8.23875
0.2545,0.33,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.367808,-0.161538,0.847939,-2.47667,-0.391494,0.204333,0.181248,0.274174,-0.726527,-1.00622,-0.959497,-0.489947,0.684426,0.19224,0.281587,-0.74211,-0.995539,-0.937756,-0.493903,0.651741,0.662503,-0.173686,1.02359,-2.09677,-1.54174,-1.17175,0.00496268,0.00279019,0.00152019,0.0131395,0.00945343,-0.012086,7.36375
0.2545,0.33,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.367808,-0.161538,0.847939,-2.47667,-0.391494,0.204333,0.182186,0.274736,-0.72772,-1.00547,-0.957705,-0.489993,0.68187,0.192702,0.281989,-0.742846,-0.994964,-0.93684,-0.494164,0.65011,0.662691,-0.173553,1.02364,-2.10339,-1.54139,-1.16583,0.00477328,0.00259008,0.00154592,0.012015,0.00952038,-0.0125973,9.86375
0.2545,0.33,0.964132,-0.335379,-2.41172,-0.584347,0.358656,0.203247,0.964132,-0.335379,-2.41172,-0.584347,-0.370995,-0.163493,0.85617,-2.47468,-0.411375,0.21039,0.183123,0.275298,-0.728948,-1.00471,-0.955913,-0.490145,0.679343,0.193156,0.282381,-0.743574,-0.994401,-0.935936,-0.494419,0.648519,0.662871,-0.173419,1.0237,-2.11238,-1.54105,-1.15751,0.00456869,0.00247889,0.00156665,0.0115639,0.00934685,-0.0124422,10.9888
0.2535,0.328,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.401522,-0.176793,0.929605,-2.53331,-0.424942,0.182343,0.184027,0.275844,-0.730141,-1.00392,-0.954166,-0.490373,0.676847,0.193604,0.282764,-0.744295,-0.993848,-0.935042,-0.494674,0.646953,0.663042,-0.173279,1.02376,-2.12124,-1.54069,-1.14926,0.00432259,0.00253466,0.00158767,0.0120634,0.00896555,-0.0117915,11.6138
0.253,0.3275,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.371279,-0.164129,0.85957,-2.47375,-0.382564,0.177497,0.184913,0.276406,-0.731351,-1.00314,-0.95245,-0.490616,0.67438,0.194042,0.283128,-0.744993,-0.993317,-0.934183,-0.494927,0.645426,0.663217,-0.173152,1.02381,-2.13054,-1.54033,-1.14057,0.00424464,0.00259922,0.00167991,0.0126151,0.00925592,-0.0118996,12.6138
0.253,0.3275,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.371279,-0.164129,0.85957,-2.47375,-0.382564,0.177497,0.185765,0.276952,-0.732527,-1.00234,-0.950749,-0.490919,0.671914,0.194499,0.283496,-0.745722,-0.992769,-0.933287,-0.495207,0.643836,0.663381,-0.173022,1.02387,-2.13958,-1.53994,-1.1321,0.00383558,0.0025227,0.00165493,0.0124725,0.0095577,-0.0108631,11.7388
0.254,0.3295,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.397615,-0.175267,0.919625,-2.48191,-0.43087,0.17556,0.186583,0.277497,-0.733703,-1.00154,-0.949078,-0.491238,0.669477,0.194931,0.283838,-0.746415,-0.992251,-0.932438,-0.495499,0.642323,0.66354,-0.17291,1.02393,-2.14848,-1.53956,-1.12379,0.00380882,0.00251153,0.0016203,0.0124028,0.00993302,-0.0113988,9.61375
