dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.262,0.343,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.339322,-0.201476,0.805437,-2.5228,0.0856685,-0.11743,-0.322136,0.223808,0.00426106,-1.12592,-1.1175,-0.307373,0.968874,-0.313107,0.22668,-0.00141146,-1.12285,-1.10227,-0.301474,0.955914,0.671635,-0.170107,0.994268,-0.929806,-1.43666,-2.24915,0.0108116,0.00668233,-0.00287872,-0.011739,0.00620005,-0.018964,-0.9375
0.263,0.3425,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.336097,-0.198655,0.798568,-2.47325,0.0447366,-0.0235038,-0.32096,0.224149,0.00349407,-1.12553,-1.11545,-0.306644,0.9671,-0.311803,0.227125,-0.00217492,-1.12242,-1.1002,-0.300549,0.954242,0.671884,-0.169943,0.994216,-0.929736,-1.437,-2.24974,0.0107521,0.00678583,-0.00291719,-0.0125502,0.00653398,-0.0193648,-3.4375
0.262,0.3425,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.310061,-0.184062,0.734916,-2.50349,0.0437685,0.0226816,-0.319801,0.22449,0.00274412,-1.12512,-1.11344,-0.305915,0.965325,-0.310901,0.227422,-0.00270734,-1.12214,-1.09877,-0.299915,0.953091,0.672131,-0.16978,0.994177,-0.92965,-1.43729,-2.25033,0.0108546,0.00711787,-0.00292886,-0.0125735,0.00636409,-0.0195371,-3.6875
0.2625,0.343,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.312717,-0.185337,0.741283,-2.4991,0.0556696,-0.00784108,-0.318642,0.224848,0.00199418,-1.12471,-1.11142,-0.305201,0.963611,-0.309539,0.227865,-0.00349791,-1.12172,-1.09664,-0.298949,0.951365,0.672387,-0.169617,0.994125,-0.929389,-1.43765,-2.25109,0.0110591,0.00758354,-0.00298191,-0.0117759,0.0061183,-0.0193862,-1.9375
0.2625,0.343,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.312717,-0.185337,0.741283,-2.4991,0.0556696,-0.00784108,-0.3175,0.225205,0.00126127,-1.12434,-1.10949,-0.304472,0.961956,-0.308628,0.228158,-0.00401315,-1.12144,-1.09525,-0.298299,0.950213,0.672645,-0.169456,0.99406,-0.929284,-1.43798,-2.2517,0.0109003,0.00795254,-0.00292484,-0.00898725,0.00549109,-0.0177922,-0.9375
0.263,0.343,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.312394,-0.185019,0.741409,-2.46973,0.0382835,-0.0431927,-0.316375,0.22558,0.00056246,-1.12395,-1.10761,-0.303728,0.960392,-0.307236,0.228594,-0.00479868,-1.12104,-1.09316,-0.297338,0.948412,0.672912,-0.169293,0.993997,-0.928849,-1.43833,-2.25263,0.0110615,0.00840604,-0.00291398,-0.00777632,0.00589335,-0.0173585,-0.1875
0.262,0.343,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.312911,-0.185116,0.741773,-2.47304,0.0419736,-0.00587993,-0.31525,0.225938,-0.00011931,-1.12356,-1.10573,-0.302984,0.958888,-0.30629,0.228877,-0.00534115,-1.12076,-1.09175,-0.296716,0.947154,0.673171,-0.169116,0.993946,-0.928007,-1.43871,-2.25394,0.0108431,0.00878184,-0.00278336,-0.00670247,0.00613059,-0.0165174,-0.8125
0.2615,0.3425,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.337272,-0.198536,0.797887,-2.53203,0.075026,-0.0353569,-0.314142,0.226313,-0.000784035,-1.1232,-1.10393,-0.302209,0.957385,-0.30483,0.229298,-0.00618364,-1.12036,-1.08957,-0.29578,0.945202,0.673441,-0.168948,0.993872,-0.927674,-1.43902,-2.25476,0.0109674,0.00904202,-0.00279098,-0.00699602,0.00626735,-0.0169843,-3.4375
0.2615,0.3425,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.337272,-0.198536,0.797887,-2.53203,0.075026,-0.0353569,-0.313034,0.226671,-0.00144876,-1.12284,-1.10219,-0.301435,0.955941,-0.303854,0.229575,-0.00674709,-1.12009,-1.08812,-0.295153,0.943905,0.673702,-0.168775,0.993812,-0.927046,-1.43933,-2.25587,0.0107038,0.00906198,-0.00260402,-0.00730684,0.00578326,-0.0163033,-2.9375
0.262,0.3425,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.335296,-0.197424,0.794958,-2.49603,0.08908,-0.0280804,-0.311926,0.227046,-0.00209644,-1.12246,-1.10043,-0.300645,0.954437,-0.302376,0.229993,-0.00759798,-1.11968,-1.08594,-0.294216,0.941962,0.673972,-0.168598,0.993751,-0.926594,-1.43959,-2.2568,0.0109819,0.0093795,-0.00261251,-0.00785267,0.0059676,-0.0164828,-3.0625
