dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2615,0.2485,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.33099,-0.184844,0.766119,-2.33814,0.0413168,-0.0961291,-0.887578,0.655828,1.43091,-0.82823,-2.33004,0.569517,2.99617,-0.878654,0.657124,1.42049,-0.826833,-2.32098,0.552578,2.98954,0.736368,-0.18877,0.98349,-2.24216,-1.4488,-0.845258,0.0102977,0.00304361,0.000800074,-0.0111628,-0.0316031,-0.019445,-6.0125
0.2615,0.2485,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.33099,-0.184844,0.766119,-2.33814,0.0413168,-0.0961291,-0.88676,0.656033,1.42996,-0.82823,-2.32917,0.567603,2.99553,-0.877739,0.657084,1.41931,-0.826595,-2.32008,0.551318,2.98875,0.736742,-0.188669,0.983449,-2.23496,-1.44986,-0.852703,0.00945309,0.00301617,0.00078397,-0.0101222,-0.0283931,-0.0196431,-4.8875
0.2615,0.249,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.339362,-0.188482,0.783868,-2.3768,0.0717805,-0.114425,-0.885942,0.65622,1.42901,-0.82823,-2.32831,0.565766,2.99493,-0.87715,0.65704,1.41852,-0.826451,-2.3195,0.550522,2.9882,0.737109,-0.188561,0.983405,-2.2283,-1.45092,-0.859615,0.00935296,0.0032271,0.000673223,-0.00961763,-0.0281347,-0.0197761,-4.0125
0.261,0.2485,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.3463,-0.191663,0.799999,-2.32569,0.0985926,-0.122427,-0.885124,0.65639,1.42807,-0.82823,-2.32746,0.564004,2.9943,-0.876299,0.656952,1.41735,-0.826265,-2.31864,0.549348,2.98736,0.737466,-0.188437,0.983363,-2.22173,-1.45191,-0.866417,0.00855234,0.00308236,0.000660017,-0.00945862,-0.0257438,-0.0197979,-4.6375
0.2615,0.249,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.351104,-0.193068,0.810267,-2.32431,0.0857848,-0.118769,-0.884306,0.656527,1.42713,-0.828213,-2.32661,0.562318,2.9937,-0.87576,0.656874,1.41658,-0.826162,-2.31808,0.548593,2.98678,0.737807,-0.188305,0.983334,-2.21561,-1.4529,-0.872779,0.00842322,0.00318336,0.000658055,-0.00983558,-0.0258574,-0.0205334,-4.7625
0.2615,0.249,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.351104,-0.193068,0.810267,-2.32431,0.0857848,-0.118769,-0.883488,0.656646,1.42618,-0.828179,-2.32574,0.560693,2.99313,-0.874994,0.656731,1.41543,-0.826021,-2.31727,0.547539,2.98592,0.738142,-0.18818,0.983308,-2.21001,-1.45392,-0.878664,0.00745497,0.00294154,0.00076835,-0.00939371,-0.0225037,-0.0203963,-5.5125
0.2615,0.248,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.334025,-0.182754,0.770029,-2.32987,0.0508616,-0.122584,-0.882687,0.656748,1.42524,-0.828043,-2.32491,0.559189,2.99253,-0.874498,0.656619,1.41467,-0.825928,-2.31674,0.546884,2.98533,0.738452,-0.188092,0.983315,-2.20409,-1.45484,-0.884917,0.00687105,0.00289359,0.000976064,-0.00878818,-0.0205537,-0.0205792,-6.2625
0.263,0.248,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.334456,-0.182082,0.768501,-2.39297,0.0741648,-0.0861439,-0.881886,0.656834,1.4243,-0.827872,-2.3241,0.557746,2.99195,-0.873776,0.656435,1.41355,-0.825785,-2.31598,0.545971,2.98445,0.738751,-0.188008,0.983336,-2.1983,-1.45575,-0.891053,0.0068571,0.0030334,0.00100111,-0.00857612,-0.0200493,-0.0207226,-6.0125
0.2625,0.2485,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.334439,-0.182243,0.767686,-2.41327,0.0836188,-0.129418,-0.881085,0.656902,1.42336,-0.827668,-2.32333,0.556395,2.99138,-0.873279,0.656304,1.41279,-0.825674,-2.31547,0.54538,2.98385,0.739039,-0.187927,0.983364,-2.1927,-1.45661,-0.897007,0.00621824,0.00293829,0.00118496,-0.00765954,-0.0170247,-0.0207808,-6.1375
0.2625,0.2485,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.334439,-0.182243,0.767686,-2.41327,0.0836188,-0.129418,-0.8803,0.65697,1.42243,-0.827446,-2.32258,0.555119,2.99078,-0.872563,0.656089,1.41167,-0.825499,-2.31475,0.544617,2.98295,0.739321,-0.187863,0.983385,-2.18716,-1.45737,-0.902914,0.00616058,0.00305348,0.00123406,-0.00760463,-0.0165226,-0.0210689,-5.2625
