dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.265,0.3465,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.34907,-0.17343,0.715821,-2.50436,-0.0794756,0.22724,-0.45382,0.255408,0.292837,-1.09386,0.5738,-0.165472,-0.588597,-0.453084,0.260633,0.292565,-1.08707,0.573726,-0.168509,-0.588884,0.685952,-0.177562,0.995761,-0.872915,-1.43759,-2.53067,0.00575226,-0.00371014,-0.000671814,0.00839402,0.00315032,-0.00353059,-2.9375
0.265,0.3465,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.34907,-0.17343,0.715821,-2.50436,-0.0794756,0.22724,-0.453445,0.256141,0.292411,-1.09293,0.574013,-0.165761,-0.588868,-0.452987,0.261027,0.292519,-1.08656,0.573712,-0.168808,-0.588956,0.686243,-0.17777,0.995743,-0.874135,-1.43747,-2.52972,0.00492049,-0.00290712,-0.000871668,0.00780165,0.00284707,-0.0039855,-2.6875
0.2645,0.3485,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345971,-0.17155,0.708071,-2.47876,-0.0743281,0.244424,-0.453155,0.25684,0.292104,-1.09206,0.574149,-0.16605,-0.589079,-0.452845,0.261261,0.29239,-1.08626,0.573751,-0.168987,-0.589085,0.686523,-0.177961,0.995711,-0.875695,-1.43735,-2.52839,0.00480233,-0.00270082,-0.00101147,0.00792136,0.00270791,-0.00445132,-2.5625
0.265,0.3485,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.363565,-0.179689,0.744272,-2.48747,-0.0493449,0.244645,-0.45295,0.257487,0.291934,-1.09122,0.574225,-0.166369,-0.589169,-0.452561,0.26156,0.2921,-1.08588,0.573854,-0.169224,-0.589362,0.686779,-0.178126,0.995694,-0.877119,-1.43726,-2.52716,0.00407648,-0.00199862,-0.00126139,0.00767575,0.00248422,-0.00442116,-2.5625
0.2645,0.346,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.339867,-0.168034,0.696249,-2.44394,-0.0930133,0.256823,-0.452848,0.258084,0.291882,-1.09046,0.57424,-0.166703,-0.589229,-0.452317,0.261733,0.291833,-1.08568,0.573957,-0.169351,-0.58961,0.687012,-0.178282,0.995674,-0.878921,-1.43716,-2.52553,0.00394318,-0.00178789,-0.00135456,0.00770255,0.00186788,-0.00460472,-2.0625
0.2645,0.346,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.339867,-0.168034,0.696249,-2.44394,-0.0930133,0.256823,-0.452814,0.258646,0.291882,-1.08974,0.57424,-0.167037,-0.589229,-0.451897,0.26194,0.291357,-1.08544,0.574148,-0.169482,-0.59005,0.687226,-0.178447,0.995649,-0.880607,-1.43711,-2.52404,0.00336969,-0.00118255,-0.00143434,0.00737635,0.0011962,-0.00408301,-2.1875
0.265,0.3475,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.342451,-0.168863,0.700876,-2.47898,-0.0848663,0.264166,-0.452814,0.25914,0.291882,-1.08908,0.574225,-0.167371,-0.589229,-0.451597,0.26207,0.291021,-1.08529,0.574282,-0.169578,-0.590364,0.687404,-0.178618,0.995641,-0.88219,-1.43704,-2.52267,0.00327577,-0.000949672,-0.00142861,0.0078459,0.00170297,-0.00435349,-2.8125
0.265,0.3455,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.365054,-0.179758,0.74439,-2.48205,-0.0416775,0.33223,-0.452814,0.259618,0.291882,-1.08846,0.574225,-0.16769,-0.589229,-0.451141,0.262218,0.290522,-1.08512,0.574474,-0.169737,-0.590846,0.687579,-0.178781,0.995617,-0.883774,-1.43701,-2.52129,0.00268826,-0.000266734,-0.00146619,0.0084521,0.0022941,-0.00377748,-2.0625
0.265,0.345,1.02796,0.0145328,2.68561,-1.30417,0.348229,0.247028,1.02796,0.0145328,2.68561,-1.30417,-0.346606,-0.170302,0.708081,-2.47936,-0.0744634,0.241949,-0.452814,0.260044,0.2919,-1.08792,0.57421,-0.168009,-0.589229,-0.45085,0.262305,0.29021,-1.08502,0.574586,-0.169852,-0.59116,0.687737,-0.178921,0.995589,-0.885476,-1.43698,-2.51978,0.00250709,-2.05834e-05,-0.00149302,0.00887674,0.00243828,-0.00340118,-2.0625
0.265,0.345,1.02796,0.0145328,2.68561,-1.30417,0.348229,0.247028,1.02796,0.0145328,2.68561,-1.30417,-0.346606,-0.170302,0.708081,-2.47936,-0.0744634,0.241949,-0.452814,0.260419,0.291951,-1.0874,0.574195,-0.168297,-0.589229,-0.450407,0.262407,0.289744,-1.0849,0.57475,-0.170019,-0.59164,0.687877,-0.179026,0.995583,-0.88689,-1.43693,-2.51849,0.00214855,0.000454784,-0.00139312,0.0089396,0.00237863,-0.00305798,-1.6875
0.2645,0.3465,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.343383,-0.168699,0.700061,-2.47801,-0.0855408,0.262325,-0.452797,0.26076,0.291968,-1.08696,0.574164,-0.168571,-0.589229,-0.45009,0.262458,0.289411,-1.08484,0.574871,-0.170128,-0.591982,0.688006,-0.179125,0.995562,-0.888406,-1.4369,-2.51711,0.00176115,0.000910476,-0.00134835,0.00875975,0.00234053,-0.00275985,-3.3125
0.2645,0.346,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.347,-0.170181,0.707494,-2.47999,-0.074359,0.243139,-0.452695,0.261066,0.291968,-1.08655,0.574134,-0.168814,-0.589229,-0.449633,0.262504,0.288942,-1.08478,0.575034,-0.170312,-0.592478,0.688135,-0.179163,0.995549,-0.8897,-1.43687,-2.51586,0.00143164,0.00127231,-0.00136282,0.00920725,0.00339179,-0.00283169,-4.0625
0.264,0.3445,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.347,-0.170181,0.707494,-2.47999,-0.074359,0.243139,-0.452524,0.261322,0.291968,-1.08619,0.574119,-0.169011,-0.589289,-0.449341,0.262519,0.288657,-1.08475,0.575128,-0.170466,-0.592791,0.688255,-0.179136,0.995548,-0.89089,-1.43678,-2.51462,0.00108044,0.0016655,-0.00133543,0.0094417,0.00424296,-0.00242436,-2.9375
0.264,0.3445,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.347,-0.170181,0.707494,-2.47999,-0.074359,0.243139,-0.452303,0.261561,0.291917,-1.08591,0.574119,-0.169209,-0.58953,-0.448975,0.262526,0.288339,-1.08473,0.575207,-0.17072,-0.59319,0.688379,-0.179095,0.995518,-0.893048,-1.43662,-2.5124,0.00092955,0.00206417,-0.00144157,0.0103545,0.00484908,-0.00125835,-2.8125
