dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.257,0.26,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.345939,-0.232601,0.817354,-2.46211,0.0912048,0.0876903,-0.273799,0.245607,-0.128786,-1.03886,-0.897379,-0.416195,0.678591,-0.281687,0.245377,-0.126393,-1.03993,-0.905429,-0.418988,0.687109,0.666691,-0.19893,1.00616,-1.51013,-1.43137,-1.70764,-0.0039281,-0.015759,-0.000517805,-0.00972153,0.00154216,-0.0037425,-0.0625
0.2575,0.2605,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.343575,-0.231579,0.810031,-2.4163,0.0739141,0.0527264,-0.274497,0.245505,-0.128548,-1.03912,-0.898153,-0.416362,0.679313,-0.282464,0.245467,-0.126156,-1.03982,-0.906154,-0.419361,0.688042,0.666561,-0.199214,1.00611,-1.5103,-1.43127,-1.70762,-0.00712064,-0.0179824,0.000519792,-0.0124299,0.0024294,-0.00300193,0.5625
0.258,0.259,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.322527,-0.216746,0.759502,-2.41113,0.0548216,0.065956,-0.275196,0.24542,-0.128326,-1.03934,-0.898898,-0.416544,0.680065,-0.283838,0.24546,-0.125751,-1.03975,-0.907416,-0.420118,0.689659,0.666435,-0.199507,1.00605,-1.51046,-1.43124,-1.70762,-0.00672319,-0.0180695,0.000711307,-0.0139011,0.00311953,-0.00235397,2.0625
0.2585,0.262,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.319762,-0.215197,0.752923,-2.41513,0.0425951,0.0928995,-0.275912,0.245352,-0.128121,-1.03954,-0.899627,-0.416742,0.680787,-0.284784,0.245483,-0.125477,-1.03965,-0.90827,-0.420675,0.690768,0.666311,-0.199821,1.006,-1.51073,-1.4312,-1.70752,-0.00667003,-0.0192885,0.00098825,-0.0151805,0.00337709,-0.000987114,1.9375
0.2585,0.262,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.319762,-0.215197,0.752923,-2.41513,0.0425951,0.0928995,-0.276645,0.245284,-0.127917,-1.03972,-0.900371,-0.416969,0.681539,-0.286284,0.245573,-0.125028,-1.03942,-0.909633,-0.421601,0.692534,0.66618,-0.200138,1.00596,-1.51088,-1.43119,-1.70754,-0.00593782,-0.0193275,0.00114727,-0.0162962,0.00356278,0.000554512,0.1875
0.258,0.261,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.322153,-0.218125,0.759229,-2.98307,0.541715,-1.25498,-0.277395,0.245249,-0.127695,-1.03983,-0.90113,-0.417228,0.682351,-0.287312,0.24567,-0.124712,-1.0392,-0.910568,-0.422254,0.693763,0.666063,-0.200456,1.00592,-1.51101,-1.43123,-1.70756,-0.00521895,-0.0202037,0.00111081,-0.0187054,0.00367756,0.00103852,0.1875
0.2575,0.2605,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.348047,-0.234466,0.817522,2.74123,-0.515784,1.18111,-0.278179,0.245232,-0.127457,-1.0399,-0.901935,-0.417516,0.683193,-0.288891,0.245875,-0.124214,-1.03881,-0.912004,-0.423256,0.695695,0.665946,-0.200781,1.0059,-1.51095,-1.43126,-1.70774,-0.00471265,-0.0203104,0.00123453,-0.0205287,0.00342686,0.00171234,0.3125
0.258,0.2605,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.323747,-0.216656,0.759099,-2.41098,0.0542128,0.0647108,-0.279014,0.245232,-0.127201,-1.03994,-0.902786,-0.417835,0.684095,-0.289987,0.246043,-0.123854,-1.03851,-0.913012,-0.423938,0.697071,0.665828,-0.201126,1.00589,-1.51081,-1.43132,-1.708,-0.00401669,-0.0208962,0.00136002,-0.0225953,0.00234292,0.00207467,1.0625
0.258,0.2605,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.323747,-0.216656,0.759099,-2.41098,0.0542128,0.0647108,-0.279883,0.245232,-0.126945,-1.03995,-0.903651,-0.418215,0.685088,-0.291684,0.246338,-0.123266,-1.03801,-0.914609,-0.424962,0.699251,0.665702,-0.201483,1.00588,-1.51078,-1.43146,-1.70813,-0.00375753,-0.0214388,0.00142264,-0.023257,0.00163328,0.00290446,1.5625
0.258,0.261,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.324794,-0.21722,0.759801,-2.43481,0.0443335,0.126912,-0.280804,0.245232,-0.126673,-1.03995,-0.904547,-0.41864,0.686171,-0.292866,0.246564,-0.122844,-1.03764,-0.915743,-0.42567,0.700776,0.665566,-0.201857,1.00587,-1.51075,-1.43166,-1.70826,-0.00305541,-0.0214799,0.00153195,-0.0231907,0.00131944,0.00419181,0.9375
