dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2645,0.2865,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.342657,-0.185691,0.745138,-2.40552,-0.115165,-0.0772604,-0.855433,0.30245,0.901418,-1.12408,0.165123,-0.217537,0.122869,-0.850426,0.301562,0.894893,-1.12269,0.167295,-0.220011,0.119088,0.682437,-0.129241,0.986599,0.982153,-1.51431,2.13792,0.00129358,6.43753e-05,-5.67242e-05,-0.000180327,0.00716696,-0.0056444,13.8125
0.2645,0.2865,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.342657,-0.185691,0.745138,-2.40552,-0.115165,-0.0772604,-0.854905,0.302314,0.900702,-1.12408,0.165321,-0.217749,0.122448,-0.85003,0.301528,0.894409,-1.12256,0.167466,-0.220193,0.118813,0.682459,-0.129212,0.986543,0.986463,-1.51445,2.13344,0.00144518,4.72928e-05,0.000116364,-0.000391734,0.00686042,-0.00636305,13.8125
0.264,0.287,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345597,-0.187679,0.753096,-2.42451,-0.119763,-0.115647,-0.854393,0.302194,0.900021,-1.12403,0.165518,-0.217977,0.122027,-0.849384,0.30148,0.893627,-1.12232,0.167748,-0.220493,0.118375,0.682479,-0.12919,0.986509,0.990125,-1.51459,2.12961,0.00155289,9.94807e-06,0.000331055,-0.000526682,0.00726878,-0.00605167,14.5625
0.264,0.287,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345597,-0.187679,0.753096,-2.42451,-0.119763,-0.115647,-0.853916,0.302075,0.899356,-1.12395,0.165715,-0.21822,0.121636,-0.848932,0.301453,0.893088,-1.12214,0.167947,-0.220725,0.118078,0.682492,-0.129187,0.986493,0.993722,-1.5147,2.12583,0.00166414,-0.00010614,0.000379611,-0.00071514,0.00827717,-0.0067484,14.5625
0.264,0.2865,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.362265,-0.196376,0.787778,3.85988,0.132379,0.0410033,-0.853439,0.301973,0.898725,-1.12381,0.165928,-0.218463,0.121275,-0.848242,0.301418,0.892267,-1.12185,0.168255,-0.221083,0.117628,0.682505,-0.12918,0.986502,0.996874,-1.51477,2.1225,0.00172524,-0.000165798,0.000442198,-0.000727492,0.00760149,-0.00612779,14.4375
0.2645,0.286,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.345854,-0.187994,0.754382,-2.42679,-0.116045,-0.082355,-0.852962,0.30187,0.898112,-1.12368,0.166126,-0.218706,0.120914,-0.847794,0.30141,0.891745,-1.12166,0.168455,-0.221302,0.117346,0.682517,-0.129164,0.986513,0.999793,-1.51484,2.11943,0.00204164,-0.000229484,0.000459452,-0.000318121,0.00639724,-0.00605054,14.3125
0.264,0.287,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.360947,-0.196122,0.789749,-2.41798,-0.113181,-0.035736,-0.852501,0.301785,0.897515,-1.1235,0.166338,-0.218934,0.120583,-0.847106,0.301417,0.890958,-1.12136,0.168758,-0.22159,0.116917,0.68253,-0.129164,0.986539,1.00237,-1.51487,2.11668,0.00224897,-0.00022199,0.00044394,0.000275071,0.00570161,-0.00550838,15.0625
0.264,0.287,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.360947,-0.196122,0.789749,-2.41798,-0.113181,-0.035736,-0.852041,0.301717,0.896919,-1.12333,0.166536,-0.219177,0.120252,-0.846644,0.301437,0.890443,-1.12115,0.168957,-0.221784,0.116634,0.68255,-0.12917,0.986553,1.00509,-1.51494,2.1138,0.00244069,-0.000278968,0.000308144,0.000718574,0.00613234,-0.00539137,14.5625
0.265,0.287,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345854,-0.187994,0.754382,-2.42679,-0.116045,-0.082355,-0.851564,0.301666,0.896339,-1.12316,0.166748,-0.21942,0.119891,-0.845944,0.30147,0.88966,-1.12084,0.169259,-0.222076,0.116202,0.682577,-0.129163,0.98656,1.00763,-1.51504,2.11112,0.00251023,-0.000393215,0.000258066,0.000941404,0.00616693,-0.00528123,14.3125
0.264,0.286,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345854,-0.187994,0.754382,-2.42679,-0.116045,-0.082355,-0.851087,0.301632,0.895726,-1.12298,0.166976,-0.219663,0.11953,-0.845485,0.301506,0.889157,-1.12062,0.169457,-0.222269,0.115928,0.68261,-0.129185,0.986564,1.0103,-1.51513,2.10827,0.00280435,-0.00049878,0.000143008,0.000706473,0.00569314,-0.00472215,14.5625
0.2635,0.2875,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.374498,-0.203181,0.81795,-2.43273,-0.0720394,-0.17368,-0.850609,0.301598,0.895112,-1.12279,0.167204,-0.219906,0.119199,-0.844815,0.301584,0.888437,-1.1203,0.169757,-0.222524,0.115553,0.682643,-0.129206,0.986567,1.01327,-1.5152,2.10513,0.00293172,-0.000692148,3.63126e-05,0.000198287,0.00491516,-0.00458976,14.9375
0.2635,0.2875,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.374498,-0.203181,0.81795,-2.43273,-0.0720394,-0.17368,-0.850098,0.301564,0.894481,-1.12257,0.167432,-0.220149,0.118868,-0.84438,0.301646,0.887968,-1.12008,0.16996,-0.222681,0.115321,0.682676,-0.129219,0.986588,1.0158,-1.51525,2.10243,0.00300385,-0.000950886,-6.51892e-05,-0.000425586,0.00456894,-0.00422622,15.4375
0.264,0.286,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.377837,-0.205353,0.825097,-2.48421,-0.0772421,-0.105122,-0.84957,0.301512,0.893851,-1.12238,0.16766,-0.220407,0.118508,-0.843763,0.301758,0.887318,-1.11976,0.170259,-0.222907,0.115018,0.682708,-0.129207,0.986595,1.01876,-1.51533,2.09933,0.00308043,-0.00108922,-0.000150159,-0.000648872,0.00455318,-0.00414258,15.3125
0.264,0.2865,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.370384,-0.201787,0.807935,-2.4886,-0.0739653,-0.0846167,-0.849041,0.301495,0.893203,-1.12218,0.167918,-0.220681,0.118147,-0.843356,0.301841,0.886892,-1.11955,0.170458,-0.223051,0.114823,0.682752,-0.129223,0.986589,1.02218,-1.51542,2.09574,0.0032089,-0.00117892,-0.00029722,-0.000493213,0.00381773,-0.00362742,14.6875
0.265,0.2855,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.36525,-0.198923,0.79516,-2.43041,-0.0932126,-0.107358,-0.848479,0.301478,0.892555,-1.12195,0.168176,-0.220939,0.117756,-0.842778,0.301984,0.886305,-1.11924,0.170741,-0.223223,0.114562,0.682799,-0.129218,0.986596,1.02484,-1.51552,2.09295,0.00340538,-0.00120709,-0.000389734,-0.000273546,0.0031612,-0.00338732,13.8125
0.265,0.2855,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.36525,-0.198923,0.79516,-2.43041,-0.0932126,-0.107358,-0.847933,0.301461,0.891925,-1.1217,0.168419,-0.221197,0.117365,-0.842379,0.302088,0.885903,-1.11904,0.170936,-0.223315,0.114382,0.682839,-0.12922,0.986624,1.02674,-1.51561,2.0909,0.00352036,-0.00116287,-0.000419379,0.000108855,0.00207059,-0.0032541,14.1875
0.263,0.285,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.345854,-0.187994,0.754382,-2.42679,-0.116045,-0.082355,-0.847354,0.301461,0.89126,-1.12144,0.168662,-0.221455,0.117034,-0.841769,0.302244,0.885288,-1.11874,0.171229,-0.223426,0.114096,0.68289,-0.129224,0.986639,1.02945,-1.51567,2.08804,0.00373614,-0.00109818,-0.000402936,0.000378901,0.00219461,-0.00364587,14.5625
0.265,0.287,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345854,-0.187994,0.754382,-2.42679,-0.116045,-0.082355,-0.846792,0.301461,0.890612,-1.12119,0.16892,-0.221713,0.116703,-0.841313,0.302347,0.884824,-1.11853,0.171442,-0.223507,0.113869,0.682939,-0.129231,0.986655,1.03222,-1.51571,2.08513,0.00390097,-0.000904519,-0.000439919,0.000745874,0.00267483,-0.00386356,15.0625
0.264,0.2875,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.345854,-0.187994,0.754382,-2.42679,-0.116045,-0.082355,-0.846212,0.301461,0.889982,-1.12095,0.169163,-0.221941,0.116372,-0.840565,0.302492,0.884052,-1.11819,0.171786,-0.223645,0.113478,0.682991,-0.129214,0.98667,1.03456,-1.51576,2.08269,0.00406819,-0.000759169,-0.000479491,0.00085203,0.0031326,-0.00481057,15.9375
