dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.264,0.275,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.329371,-0.211713,0.662941,-2.25342,-0.126035,0.0346985,-0.79058,0.667299,1.59541,-0.700296,-1.93919,0.751742,2.89646,-0.790302,0.662235,1.59051,-0.70773,-1.93628,0.754542,2.88581,0.721112,-0.171416,1.03871,-3.0899,-1.50079,-0.100146,-0.00231527,0.0190943,-0.00266477,-0.00317326,0.0185776,-0.00784297,1.4875
0.2625,0.274,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.34826,-0.22436,0.702721,-2.23141,-0.1052,0.00969707,-0.790682,0.666787,1.59497,-0.701097,-1.93895,0.752015,2.89546,-0.790166,0.661809,1.59006,-0.708312,-1.93601,0.754784,2.88483,0.72101,-0.171069,1.03864,-3.09346,-1.50036,-0.0968373,-0.00213569,0.0188916,-0.00256117,-0.00379643,0.0194781,-0.00764879,1.9875
0.2625,0.274,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.34826,-0.22436,0.702721,-2.23141,-0.1052,0.00969707,-0.79075,0.666276,1.59452,-0.701899,-1.93868,0.752304,2.89447,-0.789923,0.661156,1.58935,-0.709157,-1.9356,0.755223,2.88341,0.720914,-0.170702,1.03857,-3.09731,-1.49992,-0.0932231,-0.00237104,0.0195443,-0.00292907,-0.00680715,0.0223863,-0.0103862,1.9875
0.2625,0.2755,0.930614,-0.0499251,2.82933,-1.31112,0.316416,0.222305,0.930614,-0.0499251,2.82933,-1.31112,-0.357381,-0.231221,0.723303,-2.29177,-0.0902818,0.0285305,-0.790767,0.665765,1.59404,-0.702683,-1.9384,0.752592,2.89345,-0.789757,0.660699,1.58883,-0.709737,-1.9353,0.755545,2.88243,0.720829,-0.170317,1.0385,-3.10077,-1.49947,-0.089987,-0.00232693,0.0192717,-0.00312724,-0.00802665,0.0227156,-0.011269,1.7375
0.264,0.274,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.348765,-0.225307,0.70593,-2.23299,-0.100143,0.0305202,-0.790784,0.665253,1.59357,-0.70345,-1.93812,0.752866,2.8924,-0.789526,0.659996,1.58804,-0.710659,-1.93482,0.756032,2.88095,0.720743,-0.16994,1.03843,-3.10377,-1.49904,-0.0872277,-0.00229052,0.0197794,-0.0035191,-0.00836689,0.0229323,-0.0114513,1.8625
0.264,0.2735,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.352723,-0.228507,0.716094,-2.25451,-0.100089,0.0322384,-0.790784,0.664725,1.59306,-0.704217,-1.93783,0.753154,2.89128,-0.789379,0.659518,1.58749,-0.711311,-1.93449,0.756332,2.87991,0.720656,-0.169555,1.03837,-3.1063,-1.4986,-0.0849678,-0.00223096,0.0203682,-0.00382501,-0.00854347,0.021954,-0.012248,0.7375
0.264,0.2735,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.352723,-0.228507,0.716094,-2.25451,-0.100089,0.0322384,-0.790767,0.664197,1.59254,-0.704966,-1.93751,0.753443,2.89017,-0.789177,0.658775,1.5866,-0.712388,-1.93392,0.756691,2.87821,0.720571,-0.16917,1.03831,-3.10896,-1.49817,-0.0825748,-0.00179018,0.0203993,-0.0039251,-0.00816849,0.0197945,-0.0130384,1.3625
0.263,0.2735,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.348904,-0.226115,0.707505,-2.255,-0.079732,0.0826799,-0.79075,0.663668,1.592,-0.705716,-1.93719,0.753747,2.889,-0.789027,0.658287,1.586,-0.713094,-1.93352,0.7569,2.87705,0.72049,-0.168796,1.03824,-3.11101,-1.49771,-0.0808405,-0.00184236,0.0208467,-0.00394504,-0.008246,0.0205427,-0.0140008,2.3625
0.264,0.2735,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.330597,-0.214976,0.670762,-2.2492,-0.114636,0.0167984,-0.790682,0.66314,1.59145,-0.706449,-1.93687,0.75405,2.88782,-0.788768,0.657539,1.58506,-0.714133,-1.93292,0.757258,2.8753,0.720416,-0.168393,1.03817,-3.11288,-1.49726,-0.0792363,-0.00166256,0.0206595,-0.00379152,-0.00841166,0.02179,-0.0143675,2.7375
0.264,0.274,0.933489,0.0429595,-2.89693,1.33682,0.316997,0.222992,0.933489,0.0429595,-2.89693,1.33682,-0.330652,-0.215605,0.67289,-2.25293,-0.109716,0.0432417,-0.790546,0.662612,1.59089,-0.707182,-1.93652,0.754354,2.88662,-0.788566,0.657043,1.58443,-0.714786,-1.93251,0.757532,2.87416,0.720355,-0.16795,1.0381,-3.11475,-1.49681,-0.0776024,-0.0016584,0.0209621,-0.00381156,-0.00895415,0.022168,-0.0145557,2.8625
