dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.285,0.2625,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.347569,-0.184713,0.86991,-2.56535,-0.361554,0.00934575,-2.77831,-0.105981,2.35686,-1.19933,-0.834015,-0.327543,0.654499,-2.77384,-0.107409,2.35249,-1.19704,-0.824066,-0.327368,0.642239,0.596257,-0.16745,1.02887,-0.877244,-1.48977,-2.43576,0.0024044,0.00214529,0.00240986,0.00882119,0.0013171,-0.00891383,15.7388
0.285,0.2615,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.349147,-0.185125,0.871791,-2.56423,-0.355439,0.0918917,-2.7778,-0.106134,2.35636,-1.1991,-0.83283,-0.327512,0.653115,-2.77333,-0.107606,2.35198,-1.19673,-0.822963,-0.327377,0.640776,0.596305,-0.167406,1.02891,-0.878969,-1.48976,-2.4343,0.00239616,0.00197454,0.00234502,0.00823583,0.00158605,-0.00879439,14.6138
0.285,0.2615,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.349147,-0.185125,0.871791,-2.56423,-0.355439,0.0918917,-2.77729,-0.106288,2.35585,-1.19884,-0.83163,-0.327482,0.651701,-2.77286,-0.107808,2.35148,-1.19641,-0.821901,-0.327379,0.639386,0.596347,-0.167371,1.02895,-0.880631,-1.48974,-2.43292,0.00252461,0.00180366,0.0023362,0.006875,0.00156719,-0.00940265,13.6138
0.2835,0.262,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.352252,-0.187003,0.880504,-2.59378,-0.361888,0.0985199,-2.77674,-0.106458,2.35533,-1.19857,-0.830446,-0.327467,0.650288,-2.7724,-0.108016,2.35099,-1.1961,-0.82087,-0.32738,0.638043,0.596401,-0.167316,1.029,-0.882332,-1.48971,-2.43146,0.00256169,0.00158123,0.0022251,0.00590141,0.00120262,-0.00919429,15.1138
0.2815,0.2625,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.347935,-0.185793,0.872561,-3.07244,-0.0493108,-1.36585,-2.77622,-0.106629,2.3548,-1.19828,-0.829261,-0.327452,0.648814,-2.77198,-0.108231,2.35052,-1.19579,-0.819912,-0.327375,0.636783,0.59645,-0.16727,1.02906,-0.884306,-1.48963,-2.42975,0.00273345,0.00149879,0.00218022,0.00600801,0.00139541,-0.00932378,17.2388
0.283,0.2625,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.348697,-0.186063,0.8726,-2.5694,-0.354521,0.0965325,-2.77567,-0.106799,2.35427,-1.19799,-0.828076,-0.327437,0.64734,-2.7716,-0.108443,2.35009,-1.19548,-0.819034,-0.327393,0.635598,0.596501,-0.167214,1.02912,-0.886269,-1.48956,-2.42803,0.00269607,0.00138529,0.00202875,0.00641852,0.00153143,-0.0083258,17.7388
0.283,0.2625,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.348697,-0.186063,0.8726,-2.5694,-0.354521,0.0965325,-2.77512,-0.10697,2.35374,-1.19772,-0.826876,-0.327421,0.645806,-2.77123,-0.108664,2.34965,-1.19517,-0.818176,-0.327428,0.634401,0.596554,-0.167159,1.02917,-0.888798,-1.48945,-2.42575,0.00283795,0.00133392,0.00186537,0.00707558,0.00163978,-0.00822134,16.4888
0.2855,0.2615,0.946617,0.0781973,-2.82398,1.40266,0.352866,0.199178,0.946617,0.0781973,-2.82398,1.40266,-0.348697,-0.186063,0.8726,-2.5694,-0.354521,0.0965325,-2.7746,-0.107157,2.35323,-1.19743,-0.825692,-0.327406,0.644302,-2.77091,-0.108881,2.34925,-1.19488,-0.817423,-0.327459,0.633322,0.596616,-0.1671,1.02922,-0.891065,-1.48936,-2.42373,0.00284163,0.00112653,0.00163946,0.00635277,0.00135437,-0.00769043,14.6138
0.28,0.262,0.962802,0.0813317,-2.83258,1.37109,0.358484,0.202597,0.962802,0.0813317,-2.83258,1.37109,-0.348697,-0.186063,0.8726,-2.5694,-0.354521,0.0965325,-2.77407,-0.107345,2.3527,-1.19712,-0.824553,-0.327391,0.642828,-2.77063,-0.109107,2.34889,-1.19459,-0.816749,-0.327473,0.632344,0.596673,-0.167046,1.02929,-0.893114,-1.48925,-2.42193,0.00305372,0.000790199,0.00139303,0.00477641,0.00112287,-0.00768549,13.2388
0.283,0.262,0.955941,-0.0933472,2.81006,-1.33551,0.355942,0.200724,0.955941,-0.0933472,2.81006,-1.33551,-0.347574,-0.185113,0.871768,-2.56356,-0.355069,0.0933913,-2.77357,-0.107532,2.35219,-1.19681,-0.823459,-0.327391,0.641415,-2.77041,-0.109336,2.34857,-1.19432,-0.816187,-0.327489,0.63151,0.596728,-0.167,1.02935,-0.895056,-1.48916,-2.42023,0.00311606,0.000492137,0.00121212,0.0035087,0.00115757,-0.00762096,14.1138
